
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Fri Nov 3 1989,,,Box Score,@,Los Angeles Clippers,L,,88,102,0,1,L 1,
2,Sat Nov 4 1989,,,Box Score,@,Golden State Warriors,W,,132,105,1,1,W 1,
3,Tue Nov 7 1989,,,Box Score,,Portland Trail Blazers,W,,109,86,2,1,W 2,
4,Thu Nov 9 1989,,,Box Score,,Denver Nuggets,L,OT,127,128,2,2,L 1,
5,Sat Nov 11 1989,,,Box Score,,Utah Jazz,W,,100,92,3,2,W 1,
6,Tue Nov 14 1989,,,Box Score,@,Miami Heat,L,,99,101,3,3,L 1,
7,Thu Nov 16 1989,,,Box Score,,Los Angeles Clippers,W,,94,82,4,3,W 1,
8,Sat Nov 18 1989,,,Box Score,@,Denver Nuggets,L,,111,141,4,4,L 1,
9,Sun Nov 19 1989,,,Box Score,,Miami Heat,W,,132,94,5,4,W 1,
10,Tue Nov 21 1989,,,Box Score,@,New York Knicks,L,OT,106,114,5,5,L 1,
11,Wed Nov 22 1989,,,Box Score,@,Boston Celtics,L,,97,109,5,6,L 2,
12,Fri Nov 24 1989,,,Box Score,@,Charlotte Hornets,W,,85,81,6,6,W 1,
13,Sat Nov 25 1989,,,Box Score,@,Cleveland Cavaliers,W,,85,75,7,6,W 2,
14,Tue Nov 28 1989,,,Box Score,,Los Angeles Lakers,W,,110,104,8,6,W 3,
15,Thu Nov 30 1989,,,Box Score,,Charlotte Hornets,W,,113,101,9,6,W 4,
16,Sat Dec 2 1989,,,Box Score,,Dallas Mavericks,L,,103,106,9,7,L 1,
17,Tue Dec 5 1989,,,Box Score,@,Seattle SuperSonics,L,,123,133,9,8,L 2,
18,Fri Dec 8 1989,,,Box Score,,New Jersey Nets,L,,94,99,9,9,L 3,
19,Sat Dec 9 1989,,,Box Score,@,Utah Jazz,L,,90,104,9,10,L 4,
20,Tue Dec 12 1989,,,Box Score,,Phoenix Suns,W,,105,83,10,10,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Thu Dec 14 1989,,,Box Score,@,San Antonio Spurs,L,,100,104,10,11,L 1,
22,Fri Dec 15 1989,,,Box Score,@,Phoenix Suns,L,,96,121,10,12,L 2,
