
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
64,Sun Mar 19 1995,,,Box Score,,Philadelphia 76ers,W,,114,103,40,24,W 5,
65,Tue Mar 21 1995,,,Box Score,,Seattle SuperSonics,L,,102,104,40,25,L 1,
66,Thu Mar 23 1995,,,Box Score,,Utah Jazz,L,,104,112,40,26,L 2,
67,Fri Mar 24 1995,,,Box Score,@,Phoenix Suns,W,,99,97,41,26,W 1,
68,Sun Mar 26 1995,,,Box Score,@,Los Angeles Lakers,L,,96,107,41,27,L 1,
69,Tue Mar 28 1995,,,Box Score,,Los Angeles Lakers,L,,96,106,41,28,L 2,
70,Thu Mar 30 1995,,,Box Score,@,Los Angeles Clippers,W,,108,96,42,28,W 1,
71,Sat Apr 1 1995,,,Box Score,,Milwaukee Bucks,L,,87,93,42,29,L 1,
72,Tue Apr 4 1995,,,Box Score,@,Sacramento Kings,L,,105,109,42,30,L 2,
73,Thu Apr 6 1995,,,Box Score,@,Golden State Warriors,W,,110,102,43,30,W 1,
74,Fri Apr 7 1995,,,Box Score,@,Portland Trail Blazers,L,,109,127,43,31,L 1,
75,Sun Apr 9 1995,,,Box Score,@,Denver Nuggets,W,,123,120,44,31,W 1,
76,Tue Apr 11 1995,,,Box Score,,Dallas Mavericks,L,2OT,147,156,44,32,L 1,
77,Thu Apr 13 1995,,,Box Score,,Portland Trail Blazers,W,,112,99,45,32,W 1,
78,Sat Apr 15 1995,,,Box Score,,Sacramento Kings,W,,98,84,46,32,W 2,
79,Mon Apr 17 1995,,,Box Score,,Los Angeles Clippers,W,,121,111,47,32,W 3,
80,Wed Apr 19 1995,,,Box Score,@,Utah Jazz,L,,96,115,47,33,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Thu Apr 20 1995,,,Box Score,@,Seattle SuperSonics,L,,101,111,47,34,L 2,
82,Sun Apr 23 1995,,,Box Score,,Utah Jazz,L,,97,103,47,35,L 3,
