
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
64,Fri Mar 15 1996,,,Box Score,,Los Angeles Clippers,W,,86,79,30,34,W 4,
65,Sun Mar 17 1996,,,Box Score,,Dallas Mavericks,W,,112,86,31,34,W 5,
66,Tue Mar 19 1996,,,Box Score,,Minnesota Timberwolves,W,,106,78,32,34,W 6,
67,Fri Mar 22 1996,,,Box Score,@,Sacramento Kings,L,,78,80,32,35,L 1,
68,Mon Mar 25 1996,,,Box Score,,Philadelphia 76ers,W,,94,71,33,35,W 1,
69,Thu Mar 28 1996,,,Box Score,,Golden State Warriors,W,,94,89,34,35,W 2,
70,Sat Mar 30 1996,,,Box Score,@,Houston Rockets,W,,109,94,35,35,W 3,
71,Sun Mar 31 1996,,,Box Score,@,Dallas Mavericks,W,,115,100,36,35,W 4,
72,Tue Apr 2 1996,,,Box Score,,Vancouver Grizzlies,W,,101,85,37,35,W 5,
73,Fri Apr 5 1996,,,Box Score,@,Denver Nuggets,W,,97,91,38,35,W 6,
74,Sat Apr 6 1996,,,Box Score,,Seattle SuperSonics,W,,95,92,39,35,W 7,
75,Mon Apr 8 1996,,,Box Score,@,Los Angeles Clippers,L,,89,102,39,36,L 1,
76,Tue Apr 9 1996,,,Box Score,@,Phoenix Suns,W,,98,91,40,36,W 1,
77,Thu Apr 11 1996,,,Box Score,,Dallas Mavericks,W,,114,99,41,36,W 2,
78,Sun Apr 14 1996,,,Box Score,@,Vancouver Grizzlies,W,,81,79,42,36,W 3,
79,Mon Apr 15 1996,,,Box Score,,San Antonio Spurs,W,,121,97,43,36,W 4,
80,Wed Apr 17 1996,,,Box Score,@,Seattle SuperSonics,L,,90,96,43,37,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Fri Apr 19 1996,,,Box Score,@,Golden State Warriors,W,,95,87,44,37,W 1,
82,Sun Apr 21 1996,,,Box Score,,Los Angeles Lakers,L,,88,92,44,38,L 1,
