
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Fri Nov 3 1995,,,Box Score,@,Boston Celtics,W,,101,100,1,0,W 1,
2,Sat Nov 4 1995,,,Box Score,,New York Knicks,L,,71,84,1,1,L 1,
3,Tue Nov 7 1995,,,Box Score,@,Houston Rockets,L,,89,106,1,2,L 2,
4,Thu Nov 9 1995,,,Box Score,@,Dallas Mavericks,L,,94,104,1,3,L 3,
5,Fri Nov 10 1995,,,Box Score,@,San Antonio Spurs,L,,90,104,1,4,L 4,
6,Tue Nov 14 1995,,,Box Score,,San Antonio Spurs,W,,98,84,2,4,W 1,
7,Thu Nov 16 1995,,,Box Score,,Houston Rockets,L,,87,115,2,5,L 1,
8,Sat Nov 18 1995,,,Box Score,,Boston Celtics,L,,93,99,2,6,L 2,
9,Wed Nov 22 1995,,,Box Score,,Toronto Raptors,W,,96,86,3,6,W 1,
10,Sat Nov 25 1995,,,Box Score,@,Cleveland Cavaliers,L,,87,89,3,7,L 1,
11,Sun Nov 26 1995,,,Box Score,,Minnesota Timberwolves,L,,102,105,3,8,L 2,
12,Tue Nov 28 1995,,,Box Score,,Charlotte Hornets,L,,98,106,3,9,L 3,
13,Thu Nov 30 1995,,,Box Score,@,Portland Trail Blazers,W,,100,99,4,9,W 1,
14,Fri Dec 1 1995,,,Box Score,@,Seattle SuperSonics,L,,99,110,4,10,L 1,
15,Sun Dec 3 1995,,,Box Score,@,Vancouver Grizzlies,W,,109,95,5,10,W 1,
16,Thu Dec 7 1995,,,Box Score,,Los Angeles Clippers,W,,112,103,6,10,W 2,
17,Sat Dec 9 1995,,,Box Score,,Chicago Bulls,L,,106,118,6,11,L 1,
18,Tue Dec 12 1995,,,Box Score,@,Washington Bullets,L,,102,108,6,12,L 2,
19,Fri Dec 15 1995,,,Box Score,@,Indiana Pacers,L,,95,112,6,13,L 3,
20,Sun Dec 17 1995,,,Box Score,,Indiana Pacers,W,,84,80,7,13,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Tue Dec 19 1995,,,Box Score,,Los Angeles Lakers,L,,105,109,7,14,L 1,
22,Wed Dec 20 1995,,,Box Score,@,Detroit Pistons,L,,77,102,7,15,L 2,
23,Fri Dec 22 1995,,,Box Score,@,Philadelphia 76ers,W,,99,94,8,15,W 1,
24,Sat Dec 23 1995,,,Box Score,,Atlanta Hawks,W,,115,111,9,15,W 2,
25,Tue Dec 26 1995,,,Box Score,@,Toronto Raptors,L,,87,93,9,16,L 1,at Hamilton Canada
26,Wed Dec 27 1995,,,Box Score,@,Minnesota Timberwolves,W,OT,99,93,10,16,W 1,
27,Sat Dec 30 1995,,,Box Score,,Washington Bullets,L,,87,96,10,17,L 1,
28,Tue Jan 2 1996,,,Box Score,@,New Jersey Nets,L,,72,81,10,18,L 2,
29,Wed Jan 3 1996,,,Box Score,,Detroit Pistons,W,,96,82,11,18,W 1,
30,Fri Jan 5 1996,,,Box Score,,Portland Trail Blazers,W,,113,96,12,18,W 2,
31,Sat Jan 6 1996,,,Box Score,@,Chicago Bulls,L,,84,113,12,19,L 1,
32,Tue Jan 9 1996,,,Box Score,,Seattle SuperSonics,L,,92,97,12,20,L 2,
33,Thu Jan 11 1996,,,Box Score,@,Indiana Pacers,L,,88,96,12,21,L 3,
34,Fri Jan 12 1996,,,Box Score,@,Orlando Magic,L,,88,93,12,22,L 4,
35,Mon Jan 15 1996,,,Box Score,@,New York Knicks,W,,98,92,13,22,W 1,
36,Wed Jan 17 1996,,,Box Score,@,Philadelphia 76ers,W,,111,100,14,22,W 2,
37,Thu Jan 18 1996,,,Box Score,,Golden State Warriors,W,,100,96,15,22,W 3,
38,Mon Jan 22 1996,,,Box Score,,Vancouver Grizzlies,L,,92,100,15,23,L 1,
39,Wed Jan 24 1996,,,Box Score,,Indiana Pacers,L,,89,97,15,24,L 2,
40,Fri Jan 26 1996,,,Box Score,,Phoenix Suns,L,,97,107,15,25,L 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Wed Jan 31 1996,,,Box Score,@,Cleveland Cavaliers,L,,71,81,15,26,L 4,
42,Thu Feb 1 1996,,,Box Score,,Denver Nuggets,W,,108,102,16,26,W 1,
43,Sat Feb 3 1996,,,Box Score,,Cleveland Cavaliers,L,,88,111,16,27,L 1,
44,Tue Feb 6 1996,,,Box Score,,Dallas Mavericks,W,,114,111,17,27,W 1,
45,Wed Feb 7 1996,,,Box Score,@,Toronto Raptors,W,,93,88,18,27,W 2,
46,Tue Feb 13 1996,,,Box Score,,Philadelphia 76ers,L,,101,104,18,28,L 1,
47,Thu Feb 15 1996,,,Box Score,,Washington Bullets,W,,109,98,19,28,W 1,
48,Fri Feb 16 1996,,,Box Score,@,Orlando Magic,L,,91,121,19,29,L 1,
49,Sun Feb 18 1996,,,Box Score,@,Charlotte Hornets,L,,99,122,19,30,L 2,
50,Tue Feb 20 1996,,,Box Score,@,New York Knicks,W,,92,87,20,30,W 1,
51,Wed Feb 21 1996,,,Box Score,,New Jersey Nets,L,OT,92,94,20,31,L 1,
52,Fri Feb 23 1996,,,Box Score,,Orlando Magic,L,,102,115,20,32,L 2,
53,Sun Feb 25 1996,,,Box Score,@,Washington Bullets,L,,103,111,20,33,L 3,
54,Tue Feb 27 1996,,,Box Score,,Charlotte Hornets,L,,84,88,20,34,L 4,
