
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
64,Sat Mar 19 1994,,,Box Score,,Cleveland Cavaliers,W,,106,95,37,27,W 4,
65,Mon Mar 21 1994,,,Box Score,@,Los Angeles Lakers,L,,81,84,37,28,L 1,
66,Tue Mar 22 1994,,,Box Score,@,Phoenix Suns,L,OT,118,124,37,29,L 2,
67,Thu Mar 24 1994,,,Box Score,@,Denver Nuggets,L,,101,113,37,30,L 3,
68,Sat Mar 26 1994,,,Box Score,@,Atlanta Hawks,L,,90,100,37,31,L 4,
69,Tue Mar 29 1994,,,Box Score,,Detroit Pistons,L,,115,123,37,32,L 5,
70,Wed Mar 30 1994,,,Box Score,@,New Jersey Nets,L,,101,111,37,33,L 6,
71,Fri Apr 1 1994,,,Box Score,,Indiana Pacers,W,,101,91,38,33,W 1,
72,Sat Apr 2 1994,,,Box Score,@,New York Knicks,L,,87,110,38,34,L 1,
73,Tue Apr 5 1994,,,Box Score,,New York Knicks,W,,100,86,39,34,W 1,
74,Wed Apr 6 1994,,,Box Score,@,Washington Bullets,W,,114,103,40,34,W 2,
75,Sat Apr 9 1994,,,Box Score,,Orlando Magic,L,,105,125,40,35,L 1,
76,Mon Apr 11 1994,,,Box Score,@,Charlotte Hornets,L,,97,99,40,36,L 2,
77,Wed Apr 13 1994,,,Box Score,,Chicago Bulls,L,,90,96,40,37,L 3,
78,Fri Apr 15 1994,,,Box Score,@,Cleveland Cavaliers,L,,100,109,40,38,L 4,
79,Sun Apr 17 1994,,,Box Score,,New Jersey Nets,L,,103,110,40,39,L 5,
80,Tue Apr 19 1994,,,Box Score,,Minnesota Timberwolves,W,,126,99,41,39,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Thu Apr 21 1994,,,Box Score,,Atlanta Hawks,W,,94,89,42,39,W 2,
82,Sat Apr 23 1994,,,Box Score,@,Indiana Pacers,L,,81,114,42,40,L 1,
