
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
63,Tue Mar 12 1991,,,Box Score,,Philadelphia 76ers,L,2OT,129,133,35,28,L 2,
64,Fri Mar 15 1991,,,Box Score,@,Dallas Mavericks,W,,127,117,36,28,W 1,
65,Sat Mar 16 1991,,,Box Score,@,Phoenix Suns,L,,116,128,36,29,L 1,
66,Tue Mar 19 1991,,,Box Score,,Boston Celtics,W,,104,92,37,29,W 1,
67,Wed Mar 20 1991,,,Box Score,@,Chicago Bulls,L,,107,129,37,30,L 1,
68,Fri Mar 22 1991,,,Box Score,@,Washington Bullets,L,,116,121,37,31,L 2,at Baltimore MD
69,Sat Mar 23 1991,,,Box Score,,Miami Heat,W,,108,93,38,31,W 1,
70,Tue Mar 26 1991,,,Box Score,@,Indiana Pacers,L,,113,123,38,32,L 1,
71,Thu Mar 28 1991,,,Box Score,,Houston Rockets,L,,111,112,38,33,L 2,
72,Sat Mar 30 1991,,,Box Score,@,Milwaukee Bucks,L,,96,104,38,34,L 3,
73,Thu Apr 4 1991,,,Box Score,@,Charlotte Hornets,L,,91,98,38,35,L 4,
74,Sat Apr 6 1991,,,Box Score,,Indiana Pacers,W,,137,110,39,35,W 1,
75,Mon Apr 8 1991,,,Box Score,,Washington Bullets,W,,105,94,40,35,W 2,
76,Tue Apr 9 1991,,,Box Score,@,Cleveland Cavaliers,W,,104,98,41,35,W 3,
77,Thu Apr 11 1991,,,Box Score,@,Minnesota Timberwolves,L,,98,112,41,36,L 1,
78,Sat Apr 13 1991,,,Box Score,,Milwaukee Bucks,W,,97,91,42,36,W 1,
79,Tue Apr 16 1991,,,Box Score,@,Orlando Magic,L,,106,113,42,37,L 1,
80,Wed Apr 17 1991,,,Box Score,,Charlotte Hornets,L,,111,123,42,38,L 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Fri Apr 19 1991,,,Box Score,,Detroit Pistons,L,,120,126,42,39,L 3,
82,Sun Apr 21 1991,,,Box Score,@,Boston Celtics,W,,117,105,43,39,W 1,
