
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Fri Oct 31 1997,,,Box Score,,Golden State Warriors,W,,129,113,1,0,W 1,
2,Sat Nov 1 1997,,,Box Score,,Charlotte Hornets,W,,106,90,2,0,W 2,
3,Tue Nov 4 1997,,,Box Score,@,Portland Trail Blazers,L,,105,122,2,1,L 1,
4,Fri Nov 7 1997,,,Box Score,@,Vancouver Grizzlies,W,,108,97,3,1,W 1,
5,Sat Nov 8 1997,,,Box Score,@,Golden State Warriors,W,,97,90,4,1,W 2,
6,Tue Nov 11 1997,,,Box Score,,San Antonio Spurs,L,,92,93,4,2,L 1,
7,Thu Nov 13 1997,,,Box Score,,Washington Wizards,L,OT,88,91,4,3,L 2,
8,Sat Nov 15 1997,,,Box Score,@,San Antonio Spurs,W,,105,94,5,3,W 1,
9,Tue Nov 18 1997,,,Box Score,@,Phoenix Suns,W,,108,90,6,3,W 2,
10,Wed Nov 19 1997,,,Box Score,@,Los Angeles Lakers,L,,93,118,6,4,L 1,
11,Fri Nov 21 1997,,,Box Score,,Cleveland Cavaliers,L,,80,103,6,5,L 2,
12,Mon Nov 24 1997,,,Box Score,@,Utah Jazz,L,OT,124,133,6,6,L 3,
13,Wed Nov 26 1997,,,Box Score,,Portland Trail Blazers,L,,90,96,6,7,L 4,
14,Fri Nov 28 1997,,,Box Score,@,Denver Nuggets,L,,84,95,6,8,L 5,
15,Sat Nov 29 1997,,,Box Score,,Vancouver Grizzlies,W,,106,87,7,8,W 1,
16,Wed Dec 3 1997,,,Box Score,,Indiana Pacers,L,,90,94,7,9,L 1,
17,Fri Dec 5 1997,,,Box Score,,Sacramento Kings,W,,101,90,8,9,W 1,
18,Sat Dec 6 1997,,,Box Score,@,Washington Wizards,L,,103,114,8,10,L 1,
19,Tue Dec 9 1997,,,Box Score,,Seattle SuperSonics,L,,99,108,8,11,L 2,
20,Thu Dec 11 1997,,,Box Score,@,New York Knicks,L,,103,107,8,12,L 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Sat Dec 13 1997,,,Box Score,,Phoenix Suns,W,,112,101,9,12,W 1,
22,Tue Dec 16 1997,,,Box Score,,Los Angeles Lakers,L,,96,109,9,13,L 1,
23,Wed Dec 17 1997,,,Box Score,@,Philadelphia 76ers,W,,94,90,10,13,W 1,
24,Sat Dec 20 1997,,,Box Score,,Los Angeles Clippers,W,,92,91,11,13,W 2,
25,Mon Dec 22 1997,,,Box Score,@,Sacramento Kings,L,,79,89,11,14,L 1,
26,Tue Dec 23 1997,,,Box Score,@,Seattle SuperSonics,W,,112,103,12,14,W 1,
27,Fri Dec 26 1997,,,Box Score,,New Jersey Nets,W,,116,96,13,14,W 2,
28,Sun Dec 28 1997,,,Box Score,@,Detroit Pistons,W,,93,89,14,14,W 3,
