
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
63,Tue Mar 10 1992,,,Box Score,@,Indiana Pacers,L,,91,101,21,42,L 2,
64,Fri Mar 13 1992,,,Box Score,,Minnesota Timberwolves,W,,118,115,22,42,W 1,
65,Sat Mar 14 1992,,,Box Score,,Los Angeles Lakers,L,,89,92,22,43,L 1,
66,Mon Mar 16 1992,,,Box Score,,Cleveland Cavaliers,L,,102,111,22,44,L 2,
67,Thu Mar 19 1992,,,Box Score,,Chicago Bulls,L,,100,106,22,45,L 3,
68,Fri Mar 20 1992,,,Box Score,@,New Jersey Nets,L,,96,99,22,46,L 4,
69,Sun Mar 22 1992,,,Box Score,@,Milwaukee Bucks,L,,88,109,22,47,L 5,
70,Wed Mar 25 1992,,,Box Score,,Indiana Pacers,L,,109,131,22,48,L 6,
71,Thu Mar 26 1992,,,Box Score,@,Atlanta Hawks,L,,95,107,22,49,L 7,
72,Sat Mar 28 1992,,,Box Score,,Charlotte Hornets,W,,113,97,23,49,W 1,
73,Wed Apr 1 1992,,,Box Score,@,Boston Celtics,L,,106,120,23,50,L 1,
74,Fri Apr 3 1992,,,Box Score,,Detroit Pistons,W,,119,85,24,50,W 1,
75,Sat Apr 4 1992,,,Box Score,@,Charlotte Hornets,L,,109,118,24,51,L 1,
76,Tue Apr 7 1992,,,Box Score,@,Miami Heat,L,,89,100,24,52,L 2,
77,Wed Apr 8 1992,,,Box Score,,New Jersey Nets,L,,103,109,24,53,L 3,
78,Fri Apr 10 1992,,,Box Score,,Miami Heat,L,,93,108,24,54,L 4,
79,Sun Apr 12 1992,,,Box Score,@,Cleveland Cavaliers,L,,91,114,24,55,L 5,
80,Tue Apr 14 1992,,,Box Score,@,New York Knicks,L,,90,93,24,56,L 6,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Thu Apr 16 1992,,,Box Score,,Orlando Magic,W,,119,106,25,56,W 1,
82,Sat Apr 18 1992,,,Box Score,@,Philadelphia 76ers,L,,104,111,25,57,L 1,
