
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Tue Nov 2 1999,,,Box Score,@,Toronto Raptors,W,,103,90,1,0,W 1,
2,Wed Nov 3 1999,,,Box Score,,Washington Wizards,W,,112,101,2,0,W 2,
3,Fri Nov 5 1999,,,Box Score,,Charlotte Hornets,W,,103,100,3,0,W 3,
4,Sat Nov 6 1999,,,Box Score,@,Indiana Pacers,L,,108,115,3,1,L 1,
5,Wed Nov 10 1999,,,Box Score,,Detroit Pistons,L,,92,110,3,2,L 2,
6,Fri Nov 12 1999,,,Box Score,,New York Knicks,W,,80,74,4,2,W 1,
7,Sat Nov 13 1999,,,Box Score,@,Chicago Bulls,L,,91,92,4,3,L 1,
8,Wed Nov 17 1999,,,Box Score,,Cleveland Cavaliers,W,,114,103,5,3,W 1,
9,Fri Nov 19 1999,,,Box Score,,New Jersey Nets,W,,109,96,6,3,W 2,
10,Sat Nov 20 1999,,,Box Score,@,Miami Heat,L,,92,110,6,4,L 1,
11,Mon Nov 22 1999,,,Box Score,,Indiana Pacers,W,,95,85,7,4,W 1,
12,Wed Nov 24 1999,,,Box Score,,San Antonio Spurs,L,,98,121,7,5,L 1,
13,Fri Nov 26 1999,,,Box Score,,Milwaukee Bucks,L,,112,114,7,6,L 2,
14,Sat Nov 27 1999,,,Box Score,@,Atlanta Hawks,L,,84,94,7,7,L 3,
15,Fri Dec 3 1999,,,Box Score,,Miami Heat,W,,96,84,8,7,W 1,
16,Sat Dec 4 1999,,,Box Score,@,Philadelphia 76ers,L,,74,77,8,8,L 1,
17,Wed Dec 8 1999,,,Box Score,,Denver Nuggets,W,,115,90,9,8,W 1,
18,Fri Dec 10 1999,,,Box Score,,Houston Rockets,W,,100,96,10,8,W 2,
19,Sun Dec 12 1999,,,Box Score,@,New York Knicks,L,,97,99,10,9,L 1,
20,Tue Dec 14 1999,,,Box Score,@,Cleveland Cavaliers,L,,88,115,10,10,L 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Wed Dec 15 1999,,,Box Score,,Utah Jazz,L,,86,96,10,11,L 3,
22,Fri Dec 17 1999,,,Box Score,@,San Antonio Spurs,L,,94,103,10,12,L 4,
23,Sat Dec 18 1999,,,Box Score,@,Houston Rockets,L,,94,100,10,13,L 5,
24,Mon Dec 20 1999,,,Box Score,,Los Angeles Lakers,L,,90,99,10,14,L 6,
25,Wed Dec 22 1999,,,Box Score,,Atlanta Hawks,W,,98,81,11,14,W 1,
26,Sun Dec 26 1999,,,Box Score,@,Los Angeles Clippers,L,,100,103,11,15,L 1,
27,Tue Dec 28 1999,,,Box Score,@,Sacramento Kings,L,,101,114,11,16,L 2,
28,Thu Dec 30 1999,,,Box Score,@,Denver Nuggets,W,,102,94,12,16,W 1,
29,Mon Jan 3 2000,,,Box Score,,Cleveland Cavaliers,W,,105,98,13,16,W 2,
30,Tue Jan 4 2000,,,Box Score,@,New York Knicks,L,,88,96,13,17,L 1,
31,Fri Jan 7 2000,,,Box Score,,Sacramento Kings,W,,101,93,14,17,W 1,
32,Sat Jan 8 2000,,,Box Score,@,Chicago Bulls,L,,79,96,14,18,L 1,
33,Mon Jan 10 2000,,,Box Score,,Vancouver Grizzlies,L,,103,112,14,19,L 2,
34,Wed Jan 12 2000,,,Box Score,,Los Angeles Clippers,W,,95,88,15,19,W 1,
35,Thu Jan 13 2000,,,Box Score,@,Minnesota Timberwolves,L,,85,103,15,20,L 1,
36,Sat Jan 15 2000,,,Box Score,@,New Jersey Nets,W,,99,96,16,20,W 1,
37,Mon Jan 17 2000,,,Box Score,@,Washington Wizards,W,,105,101,17,20,W 2,
38,Wed Jan 19 2000,,,Box Score,,Toronto Raptors,W,,94,90,18,20,W 3,
39,Fri Jan 21 2000,,,Box Score,,Seattle SuperSonics,W,,111,86,19,20,W 4,
40,Sat Jan 22 2000,,,Box Score,@,Charlotte Hornets,L,,96,110,19,21,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Tue Jan 25 2000,,,Box Score,@,Miami Heat,L,,89,115,19,22,L 2,
42,Wed Jan 26 2000,,,Box Score,@,Orlando Magic,L,,89,111,19,23,L 3,
43,Fri Jan 28 2000,,,Box Score,,Phoenix Suns,W,,91,88,20,23,W 1,
44,Tue Feb 1 2000,,,Box Score,@,Indiana Pacers,L,,96,99,20,24,L 1,
45,Wed Feb 2 2000,,,Box Score,,Miami Heat,L,,103,105,20,25,L 2,
46,Fri Feb 4 2000,,,Box Score,,New Jersey Nets,W,,100,95,21,25,W 1,
47,Sun Feb 6 2000,,,Box Score,,Portland Trail Blazers,L,,94,100,21,26,L 1,
48,Tue Feb 8 2000,,,Box Score,@,New Jersey Nets,L,,113,131,21,27,L 2,
49,Wed Feb 9 2000,,,Box Score,,Indiana Pacers,L,,104,113,21,28,L 3,
50,Tue Feb 15 2000,,,Box Score,@,Utah Jazz,W,,101,99,22,28,W 1,
51,Fri Feb 18 2000,,,Box Score,@,Golden State Warriors,L,,100,122,22,29,L 1,
52,Sat Feb 19 2000,,,Box Score,@,Seattle SuperSonics,L,,91,94,22,30,L 2,
53,Mon Feb 21 2000,,,Box Score,@,Portland Trail Blazers,L,,92,105,22,31,L 3,
54,Thu Feb 24 2000,,,Box Score,@,Vancouver Grizzlies,W,,101,77,23,31,W 1,
55,Fri Feb 25 2000,,,Box Score,@,Los Angeles Lakers,L,,96,109,23,32,L 1,
56,Mon Feb 28 2000,,,Box Score,,Dallas Mavericks,L,,100,108,23,33,L 2,
57,Wed Mar 1 2000,,,Box Score,,Toronto Raptors,L,,94,96,23,34,L 3,
58,Fri Mar 3 2000,,,Box Score,@,Toronto Raptors,L,,104,114,23,35,L 4,
59,Sun Mar 5 2000,,,Box Score,,Orlando Magic,W,,97,91,24,35,W 1,
60,Wed Mar 8 2000,,,Box Score,,Milwaukee Bucks,W,,112,101,25,35,W 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Fri Mar 10 2000,,,Box Score,,Chicago Bulls,W,,104,74,26,35,W 3,
62,Sun Mar 12 2000,,,Box Score,,Philadelphia 76ers,W,,93,77,27,35,W 4,
63,Mon Mar 13 2000,,,Box Score,@,Detroit Pistons,L,,115,124,27,36,L 1,
64,Wed Mar 15 2000,,,Box Score,,Golden State Warriors,W,,121,104,28,36,W 1,
65,Fri Mar 17 2000,,,Box Score,@,Atlanta Hawks,W,,114,90,29,36,W 2,
66,Sat Mar 18 2000,,,Box Score,@,Dallas Mavericks,W,,104,99,30,36,W 3,
67,Mon Mar 20 2000,,,Box Score,@,Phoenix Suns,L,,106,110,30,37,L 1,
68,Wed Mar 22 2000,,,Box Score,,Minnesota Timberwolves,L,,106,109,30,38,L 2,
69,Fri Mar 24 2000,,,Box Score,@,Philadelphia 76ers,L,2OT,115,117,30,39,L 3,
70,Sun Mar 26 2000,,,Box Score,@,Milwaukee Bucks,L,,84,99,30,40,L 4,
71,Tue Mar 28 2000,,,Box Score,@,Orlando Magic,L,,87,122,30,41,L 5,
72,Fri Mar 31 2000,,,Box Score,,Washington Wizards,L,,102,104,30,42,L 6,
73,Sat Apr 1 2000,,,Box Score,@,Cleveland Cavaliers,L,,103,109,30,43,L 7,
74,Tue Apr 4 2000,,,Box Score,@,Charlotte Hornets,L,,105,112,30,44,L 8,
75,Wed Apr 5 2000,,,Box Score,@,Detroit Pistons,L,,106,111,30,45,L 9,
76,Fri Apr 7 2000,,,Box Score,,Philadelphia 76ers,L,,97,102,30,46,L 10,
77,Mon Apr 10 2000,,,Box Score,,Atlanta Hawks,W,,99,94,31,46,W 1,
78,Wed Apr 12 2000,,,Box Score,,Orlando Magic,W,,95,91,32,46,W 2,
79,Fri Apr 14 2000,,,Box Score,,Chicago Bulls,W,,106,91,33,46,W 3,
80,Sun Apr 16 2000,,,Box Score,,Charlotte Hornets,L,,102,105,33,47,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Tue Apr 18 2000,,,Box Score,@,Washington Wizards,W,,114,81,34,47,W 1,
82,Wed Apr 19 2000,,,Box Score,,New York Knicks,W,,112,85,35,47,W 2,
