
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
63,Thu Mar 13 1997,,,Box Score,@,Sacramento Kings,W,,103,96,23,40,W 3,
64,Sat Mar 15 1997,,,Box Score,@,Golden State Warriors,L,,102,106,23,41,L 1,
65,Sun Mar 16 1997,,,Box Score,@,Los Angeles Lakers,L,OT,90,98,23,42,L 2,
66,Tue Mar 18 1997,,,Box Score,,Philadelphia 76ers,W,,117,105,24,42,W 1,at Toronto Canada (Maple Leaf Gardens)
67,Wed Mar 19 1997,,,Box Score,@,Detroit Pistons,W,,99,97,25,42,W 2,
68,Fri Mar 21 1997,,,Box Score,,Charlotte Hornets,L,,97,102,25,43,L 1,
69,Sun Mar 23 1997,,,Box Score,,Atlanta Hawks,L,,79,90,25,44,L 2,
70,Tue Mar 25 1997,,,Box Score,,Indiana Pacers,L,,84,98,25,45,L 3,
71,Thu Mar 27 1997,,,Box Score,,Chicago Bulls,L,,83,96,25,46,L 4,
72,Fri Mar 28 1997,,,Box Score,@,Washington Bullets,L,,86,113,25,47,L 5,
73,Sun Mar 30 1997,,,Box Score,,Miami Heat,W,,102,97,26,47,W 1,
74,Wed Apr 2 1997,,,Box Score,@,Philadelphia 76ers,W,,112,90,27,47,W 2,
75,Sat Apr 5 1997,,,Box Score,@,Miami Heat,L,,84,98,27,48,L 1,
76,Tue Apr 8 1997,,,Box Score,,Washington Bullets,W,,100,94,28,48,W 1,
77,Thu Apr 10 1997,,,Box Score,,Orlando Magic,L,,69,105,28,49,L 1,
78,Sat Apr 12 1997,,,Box Score,,Indiana Pacers,L,,89,100,28,50,L 2,
79,Mon Apr 14 1997,,,Box Score,@,Chicago Bulls,L,,100,117,28,51,L 3,
80,Tue Apr 15 1997,,,Box Score,@,Milwaukee Bucks,L,,85,92,28,52,L 4,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Fri Apr 18 1997,,,Box Score,@,Charlotte Hornets,W,,108,100,29,52,W 1,
82,Sun Apr 20 1997,,,Box Score,@,Boston Celtics,W,,125,94,30,52,W 2,
