
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
64,Sun Mar 16 1997,,,Box Score,,Seattle SuperSonics,W,,86,83,47,17,W 2,
65,Mon Mar 17 1997,,,Box Score,@,Cleveland Cavaliers,L,,82,85,47,18,L 1,
66,Wed Mar 19 1997,,,Box Score,,Toronto Raptors,L,,97,99,47,19,L 2,
67,Fri Mar 21 1997,,,Box Score,,Minnesota Timberwolves,W,,112,98,48,19,W 1,
68,Sat Mar 22 1997,,,Box Score,@,Chicago Bulls,L,,88,103,48,20,L 1,
69,Wed Mar 26 1997,,,Box Score,@,New York Knicks,L,,94,105,48,21,L 2,
70,Fri Mar 28 1997,,,Box Score,,Los Angeles Clippers,W,,113,85,49,21,W 1,
71,Sun Mar 30 1997,,,Box Score,,Philadelphia 76ers,L,,92,96,49,22,L 1,
72,Tue Apr 1 1997,,,Box Score,@,Dallas Mavericks,W,,100,82,50,22,W 1,
73,Wed Apr 2 1997,,,Box Score,@,San Antonio Spurs,W,,99,92,51,22,W 2,
74,Fri Apr 4 1997,,,Box Score,@,Atlanta Hawks,L,,89,103,51,23,L 1,
75,Mon Apr 7 1997,,,Box Score,,Miami Heat,L,,88,94,51,24,L 2,
76,Thu Apr 10 1997,,,Box Score,@,Miami Heat,L,,83,93,51,25,L 3,
77,Fri Apr 11 1997,,,Box Score,,Charlotte Hornets,L,,85,93,51,26,L 4,
78,Sun Apr 13 1997,,,Box Score,,Chicago Bulls,W,,108,91,52,26,W 1,
79,Mon Apr 14 1997,,,Box Score,@,Orlando Magic,L,,91,100,52,27,L 1,
80,Wed Apr 16 1997,,,Box Score,,Milwaukee Bucks,W,,92,85,53,27,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Fri Apr 18 1997,,,Box Score,,Cleveland Cavaliers,L,,75,82,53,28,L 1,
82,Sun Apr 20 1997,,,Box Score,@,Indiana Pacers,W,OT,124,120,54,28,W 1,
