
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Fri Oct 31 1997,,,Box Score,@,Vancouver Grizzlies,W,,90,88,1,0,W 1,
2,Sat Nov 1 1997,,,Box Score,@,Seattle SuperSonics,W,,89,81,2,0,W 2,
3,Tue Nov 4 1997,,,Box Score,,Vancouver Grizzlies,W,,92,87,3,0,W 3,
4,Wed Nov 5 1997,,,Box Score,@,Charlotte Hornets,L,,103,110,3,1,L 1,
5,Sat Nov 8 1997,,,Box Score,,Portland Trail Blazers,L,,94,101,3,2,L 2,
6,Tue Nov 11 1997,,,Box Score,,Los Angeles Lakers,L,,96,118,3,3,L 3,
7,Thu Nov 13 1997,,,Box Score,,Philadelphia 76ers,L,,98,99,3,4,L 4,
8,Sat Nov 15 1997,,,Box Score,,Utah Jazz,L,,77,85,3,5,L 5,
9,Mon Nov 17 1997,,,Box Score,@,Portland Trail Blazers,L,,75,120,3,6,L 6,
10,Tue Nov 18 1997,,,Box Score,@,Sacramento Kings,L,,95,102,3,7,L 7,
11,Thu Nov 20 1997,,,Box Score,,Golden State Warriors,L,OT,97,101,3,8,L 8,
12,Sat Nov 22 1997,,,Box Score,,Milwaukee Bucks,L,,62,83,3,9,L 9,
13,Tue Nov 25 1997,,,Box Score,,San Antonio Spurs,L,,91,102,3,10,L 10,
14,Fri Nov 28 1997,,,Box Score,,Toronto Raptors,W,,93,91,4,10,W 1,
15,Sat Nov 29 1997,,,Box Score,@,San Antonio Spurs,L,,87,96,4,11,L 1,
16,Tue Dec 2 1997,,,Box Score,,Atlanta Hawks,L,,79,112,4,12,L 2,
17,Thu Dec 4 1997,,,Box Score,,New York Knicks,W,,105,91,5,12,W 1,
18,Sat Dec 6 1997,,,Box Score,,Houston Rockets,L,,106,108,5,13,L 1,at Mexico City Mexico
19,Tue Dec 9 1997,,,Box Score,,Los Angeles Clippers,L,,92,99,5,14,L 2,
20,Thu Dec 11 1997,,,Box Score,,Orlando Magic,L,,90,100,5,15,L 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Fri Dec 12 1997,,,Box Score,@,Utah Jazz,L,,66,68,5,16,L 4,
22,Sun Dec 14 1997,,,Box Score,@,Los Angeles Lakers,L,,89,119,5,17,L 5,
23,Tue Dec 16 1997,,,Box Score,@,Golden State Warriors,L,,92,103,5,18,L 6,
24,Thu Dec 18 1997,,,Box Score,,Phoenix Suns,L,,75,89,5,19,L 7,
25,Sat Dec 20 1997,,,Box Score,,Sacramento Kings,L,,88,89,5,20,L 8,
26,Mon Dec 22 1997,,,Box Score,@,New York Knicks,L,,67,79,5,21,L 9,
27,Tue Dec 23 1997,,,Box Score,@,Cleveland Cavaliers,L,,85,99,5,22,L 10,
28,Fri Dec 26 1997,,,Box Score,,Washington Wizards,L,,95,97,5,23,L 11,
29,Mon Dec 29 1997,,,Box Score,@,Chicago Bulls,L,,105,111,5,24,L 12,
30,Tue Dec 30 1997,,,Box Score,@,Milwaukee Bucks,L,OT,98,105,5,25,L 13,
31,Fri Jan 2 1998,,,Box Score,@,Phoenix Suns,L,,85,92,5,26,L 14,
32,Sat Jan 3 1998,,,Box Score,@,Los Angeles Clippers,L,,88,97,5,27,L 15,
33,Tue Jan 6 1998,,,Box Score,,Denver Nuggets,W,,108,90,6,27,W 1,
34,Thu Jan 8 1998,,,Box Score,,Sacramento Kings,L,,92,103,6,28,L 1,
35,Sat Jan 10 1998,,,Box Score,,Indiana Pacers,L,,79,84,6,29,L 2,
36,Tue Jan 13 1998,,,Box Score,@,Houston Rockets,L,,87,100,6,30,L 3,
37,Wed Jan 14 1998,,,Box Score,@,Atlanta Hawks,L,,82,108,6,31,L 4,at Atlanta GA (Alexander Memorial Coliseum at McDonald's Center)
38,Sat Jan 17 1998,,,Box Score,,Minnesota Timberwolves,L,OT,110,113,6,32,L 5,
39,Tue Jan 20 1998,,,Box Score,,Seattle SuperSonics,W,,107,98,7,32,W 1,
40,Fri Jan 23 1998,,,Box Score,@,San Antonio Spurs,L,,75,81,7,33,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Sat Jan 24 1998,,,Box Score,,Charlotte Hornets,L,,92,94,7,34,L 2,
42,Tue Jan 27 1998,,,Box Score,,Cleveland Cavaliers,W,OT,84,77,8,34,W 1,
43,Fri Jan 30 1998,,,Box Score,@,Utah Jazz,L,,94,104,8,35,L 1,
44,Sat Jan 31 1998,,,Box Score,@,Denver Nuggets,L,,98,110,8,36,L 2,
45,Mon Feb 2 1998,,,Box Score,,Vancouver Grizzlies,W,,104,90,9,36,W 1,
46,Wed Feb 4 1998,,,Box Score,@,Boston Celtics,L,,99,110,9,37,L 1,
47,Thu Feb 5 1998,,,Box Score,@,Toronto Raptors,L,,93,101,9,38,L 2,
48,Tue Feb 10 1998,,,Box Score,@,New Jersey Nets,L,,81,90,9,39,L 3,
49,Wed Feb 11 1998,,,Box Score,@,Philadelphia 76ers,L,,90,91,9,40,L 4,
50,Fri Feb 13 1998,,,Box Score,@,Indiana Pacers,W,2OT,85,82,10,40,W 1,
51,Sun Feb 15 1998,,,Box Score,@,Minnesota Timberwolves,L,OT,99,105,10,41,L 1,
52,Tue Feb 17 1998,,,Box Score,,Phoenix Suns,L,,77,95,10,42,L 2,
53,Thu Feb 19 1998,,,Box Score,,San Antonio Spurs,L,,81,87,10,43,L 3,
54,Sat Feb 21 1998,,,Box Score,,Detroit Pistons,L,,82,94,10,44,L 4,
55,Wed Feb 25 1998,,,Box Score,@,Orlando Magic,L,,79,100,10,45,L 5,
56,Thu Feb 26 1998,,,Box Score,@,Miami Heat,L,,72,91,10,46,L 6,
57,Sat Feb 28 1998,,,Box Score,@,Washington Wizards,W,,103,77,11,46,W 1,
58,Mon Mar 2 1998,,,Box Score,@,Detroit Pistons,L,,94,100,11,47,L 1,
59,Tue Mar 3 1998,,,Box Score,@,Minnesota Timberwolves,W,,110,99,12,47,W 1,
60,Thu Mar 5 1998,,,Box Score,,Los Angeles Clippers,W,,119,109,13,47,W 2,
