
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Fri Nov 3 1995,,,Box Score,@,San Antonio Spurs,W,,103,97,1,0,W 1,
2,Sat Nov 4 1995,,,Box Score,,Golden State Warriors,W,,99,84,2,0,W 2,
3,Tue Nov 7 1995,,,Box Score,,Vancouver Grizzlies,W,,99,88,3,0,W 3,
4,Thu Nov 9 1995,,,Box Score,,Milwaukee Bucks,W,,104,94,4,0,W 4,
5,Sat Nov 11 1995,,,Box Score,,Atlanta Hawks,L,,100,113,4,1,L 1,
6,Mon Nov 13 1995,,,Box Score,@,Vancouver Grizzlies,W,,94,89,5,1,W 1,
7,Wed Nov 15 1995,,,Box Score,@,Los Angeles Lakers,L,,97,114,5,2,L 1,
8,Fri Nov 17 1995,,,Box Score,@,Los Angeles Clippers,L,,90,101,5,3,L 2,
9,Sat Nov 18 1995,,,Box Score,@,Golden State Warriors,L,,108,121,5,4,L 3,
10,Tue Nov 21 1995,,,Box Score,,Chicago Bulls,L,OT,102,108,5,5,L 4,
11,Fri Nov 24 1995,,,Box Score,,Denver Nuggets,L,OT,109,112,5,6,L 5,
12,Tue Nov 28 1995,,,Box Score,@,Miami Heat,L,,89,111,5,7,L 6,
13,Thu Nov 30 1995,,,Box Score,@,Orlando Magic,L,,96,110,5,8,L 7,
14,Fri Dec 1 1995,,,Box Score,@,Atlanta Hawks,W,,106,98,6,8,W 1,
15,Sun Dec 3 1995,,,Box Score,@,Cleveland Cavaliers,L,OT,107,108,6,9,L 1,
16,Tue Dec 5 1995,,,Box Score,@,New York Knicks,L,,87,92,6,10,L 2,
17,Wed Dec 6 1995,,,Box Score,@,Philadelphia 76ers,L,,87,108,6,11,L 3,
18,Sat Dec 9 1995,,,Box Score,,Washington Bullets,L,,94,103,6,12,L 4,
19,Tue Dec 12 1995,,,Box Score,,Seattle SuperSonics,W,OT,112,101,7,12,W 1,
20,Thu Dec 14 1995,,,Box Score,,San Antonio Spurs,L,,111,126,7,13,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Sat Dec 16 1995,,,Box Score,,Phoenix Suns,L,OT,108,111,7,14,L 2,
22,Tue Dec 19 1995,,,Box Score,@,Chicago Bulls,L,,101,114,7,15,L 3,
23,Fri Dec 22 1995,,,Box Score,@,Indiana Pacers,L,,79,90,7,16,L 4,
24,Sat Dec 23 1995,,,Box Score,@,Minnesota Timberwolves,L,,98,111,7,17,L 5,
25,Tue Dec 26 1995,,,Box Score,@,Denver Nuggets,L,,102,114,7,18,L 6,
26,Thu Dec 28 1995,,,Box Score,,Vancouver Grizzlies,W,2OT,103,101,8,18,W 1,
27,Sat Dec 30 1995,,,Box Score,,Houston Rockets,L,,102,105,8,19,L 1,
28,Tue Jan 2 1996,,,Box Score,,Utah Jazz,L,,92,102,8,20,L 2,
29,Thu Jan 4 1996,,,Box Score,@,Washington Bullets,L,,100,112,8,21,L 3,
30,Fri Jan 5 1996,,,Box Score,@,New Jersey Nets,L,,99,107,8,22,L 4,
31,Sun Jan 7 1996,,,Box Score,@,Boston Celtics,W,,117,96,9,22,W 1,
32,Tue Jan 9 1996,,,Box Score,,Indiana Pacers,L,,84,91,9,23,L 1,
33,Fri Jan 12 1996,,,Box Score,@,Phoenix Suns,W,OT,140,130,10,23,W 1,
34,Sat Jan 13 1996,,,Box Score,,Charlotte Hornets,L,,83,103,10,24,L 1,
35,Mon Jan 15 1996,,,Box Score,,Orlando Magic,W,,119,104,11,24,W 1,
36,Fri Jan 19 1996,,,Box Score,,Boston Celtics,W,,129,124,12,24,W 2,
37,Sun Jan 21 1996,,,Box Score,@,Seattle SuperSonics,L,,101,108,12,25,L 1,
38,Tue Jan 23 1996,,,Box Score,@,Sacramento Kings,W,,111,109,13,25,W 1,
39,Thu Jan 25 1996,,,Box Score,,Detroit Pistons,L,,92,93,13,26,L 1,
40,Sat Jan 27 1996,,,Box Score,,Portland Trail Blazers,L,,103,112,13,27,L 2,
