
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
57,Mon Feb 26 2001,7:30p EST,,Box Score,@,Los Angeles Clippers,W,,103,92,35,22,W 1,
58,Tue Feb 27 2001,7:00p EST,,Box Score,@,Vancouver Grizzlies,W,,116,112,36,22,W 2,
59,Sat Mar 3 2001,7:30p EST,,Box Score,,Houston Rockets,W,,100,95,37,22,W 3,
60,Mon Mar 5 2001,7:30p EST,,Box Score,@,Orlando Magic,L,,81,95,37,23,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Wed Mar 7 2001,7:30p EST,,Box Score,@,Miami Heat,W,,93,86,38,23,W 1,
62,Fri Mar 9 2001,7:30p EST,,Box Score,,Golden State Warriors,W,,102,73,39,23,W 2,
63,Sun Mar 11 2001,7:30p EST,,Box Score,,Los Angeles Clippers,W,,111,93,40,23,W 3,
64,Tue Mar 13 2001,7:30p EST,,Box Score,,New Jersey Nets,W,,122,98,41,23,W 4,
65,Thu Mar 15 2001,7:30p EST,,Box Score,,Minnesota Timberwolves,W,,103,83,42,23,W 5,
66,Sat Mar 17 2001,7:30p EST,,Box Score,,Phoenix Suns,W,,109,99,43,23,W 6,
67,Tue Mar 20 2001,7:30p EST,,Box Score,,Portland Trail Blazers,L,,88,96,43,24,L 1,
68,Wed Mar 21 2001,7:00p EST,,Box Score,@,Minnesota Timberwolves,L,,97,109,43,25,L 2,
69,Sat Mar 24 2001,7:30p EST,,Box Score,,Charlotte Hornets,W,,103,100,44,25,W 1,
70,Mon Mar 26 2001,7:00p EST,,Box Score,@,Utah Jazz,W,,98,90,45,25,W 2,
71,Wed Mar 28 2001,7:00p EST,,Box Score,@,Portland Trail Blazers,W,,94,84,46,25,W 3,
72,Fri Mar 30 2001,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,89,98,46,26,L 1,
73,Sun Apr 1 2001,6:00p EST,,Box Score,@,Sacramento Kings,W,,119,107,47,26,W 1,
74,Tue Apr 3 2001,7:30p EST,,Box Score,@,Houston Rockets,W,,109,97,48,26,W 2,
75,Thu Apr 5 2001,7:30p EST,,Box Score,,Atlanta Hawks,W,,108,94,49,26,W 3,
76,Sat Apr 7 2001,7:30p EST,,Box Score,,Utah Jazz,L,,103,116,49,27,L 1,
77,Tue Apr 10 2001,7:30p EST,,Box Score,@,San Antonio Spurs,L,,79,91,49,28,L 2,
78,Wed Apr 11 2001,7:00p EST,,Box Score,@,Phoenix Suns,L,,106,111,49,29,L 3,
79,Fri Apr 13 2001,7:30p EST,,Box Score,,Sacramento Kings,W,,101,97,50,29,W 1,
80,Sun Apr 15 2001,6:00p EST,,Box Score,@,Seattle SuperSonics,W,OT,107,99,51,29,W 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Mon Apr 16 2001,7:30p EST,,Box Score,@,Golden State Warriors,W,,110,101,52,29,W 3,
82,Wed Apr 18 2001,7:30p EST,,Box Score,,Minnesota Timberwolves,W,,120,100,53,29,W 4,
