
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Fri Nov 2 1990,,,Box Score,@,Minnesota Timberwolves,L,,85,98,0,1,L 1,
2,Sat Nov 3 1990,,,Box Score,,Denver Nuggets,W,,140,110,1,1,W 1,
3,Tue Nov 6 1990,,,Box Score,@,New York Knicks,W,,96,91,2,1,W 2,
4,Wed Nov 7 1990,,,Box Score,@,Philadelphia 76ers,W,,104,101,3,1,W 3,
5,Fri Nov 9 1990,,,Box Score,,Orlando Magic,W,,111,99,4,1,W 4,
6,Tue Nov 13 1990,,,Box Score,@,Orlando Magic,L,,103,109,4,2,L 1,
7,Wed Nov 14 1990,,,Box Score,@,Miami Heat,L,,93,105,4,3,L 2,
8,Fri Nov 16 1990,,,Box Score,,Los Angeles Lakers,W,,99,86,5,3,W 1,
9,Tue Nov 20 1990,,,Box Score,,Minnesota Timberwolves,L,OT,91,92,5,4,L 1,
10,Fri Nov 23 1990,,,Box Score,,San Antonio Spurs,L,,104,107,5,5,L 2,
11,Sat Nov 24 1990,,,Box Score,,Utah Jazz,L,,74,85,5,6,L 3,
12,Wed Nov 28 1990,,,Box Score,,Los Angeles Clippers,W,,107,88,6,6,W 1,
13,Sat Dec 1 1990,,,Box Score,@,San Antonio Spurs,L,,97,109,6,7,L 1,
14,Tue Dec 4 1990,,,Box Score,@,Sacramento Kings,L,,83,103,6,8,L 2,
15,Wed Dec 5 1990,,,Box Score,@,Los Angeles Clippers,L,,89,93,6,9,L 3,
16,Fri Dec 7 1990,,,Box Score,,Boston Celtics,L,,104,112,6,10,L 4,
17,Sat Dec 8 1990,,,Box Score,,Houston Rockets,L,,107,113,6,11,L 5,
18,Wed Dec 12 1990,,,Box Score,@,Los Angeles Lakers,W,OT,112,97,7,11,W 1,
19,Fri Dec 14 1990,,,Box Score,@,Portland Trail Blazers,L,,104,106,7,12,L 1,
20,Sat Dec 15 1990,,,Box Score,@,Seattle SuperSonics,L,,105,106,7,13,L 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Tue Dec 18 1990,,,Box Score,,Phoenix Suns,L,,95,114,7,14,L 3,
22,Fri Dec 21 1990,,,Box Score,,Milwaukee Bucks,W,,103,89,8,14,W 1,
23,Sat Dec 22 1990,,,Box Score,@,Denver Nuggets,W,,119,110,9,14,W 2,
24,Wed Dec 26 1990,,,Box Score,@,Phoenix Suns,L,,88,115,9,15,L 1,
25,Thu Dec 27 1990,,,Box Score,@,Utah Jazz,L,,102,110,9,16,L 2,
26,Sat Dec 29 1990,,,Box Score,,Sacramento Kings,W,,90,79,10,16,W 1,
