
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Fri Oct 31 1997,,,Box Score,@,Minnesota Timberwolves,L,,113,129,0,1,L 1,
2,Sat Nov 1 1997,,,Box Score,@,Indiana Pacers,L,,83,96,0,2,L 2,
3,Tue Nov 4 1997,,,Box Score,@,Toronto Raptors,L,,86,104,0,3,L 3,
4,Wed Nov 5 1997,,,Box Score,@,New Jersey Nets,L,,96,112,0,4,L 4,
5,Sat Nov 8 1997,,,Box Score,,Minnesota Timberwolves,L,,90,97,0,5,L 5,
6,Sun Nov 9 1997,,,Box Score,@,Los Angeles Lakers,L,,97,132,0,6,L 6,
7,Wed Nov 12 1997,,,Box Score,,Detroit Pistons,L,,71,102,0,7,L 7,
8,Sat Nov 15 1997,,,Box Score,,Portland Trail Blazers,L,,87,99,0,8,L 8,
9,Wed Nov 19 1997,,,Box Score,@,San Antonio Spurs,L,,87,108,0,9,L 9,
10,Thu Nov 20 1997,,,Box Score,@,Dallas Mavericks,W,OT,101,97,1,9,W 1,
11,Sat Nov 22 1997,,,Box Score,@,Houston Rockets,L,,84,90,1,10,L 1,
12,Tue Nov 25 1997,,,Box Score,,New Jersey Nets,L,,87,101,1,11,L 2,
13,Fri Nov 28 1997,,,Box Score,@,Utah Jazz,L,,82,111,1,12,L 3,
14,Sat Nov 29 1997,,,Box Score,,Houston Rockets,L,,100,107,1,13,L 4,
15,Wed Dec 3 1997,,,Box Score,,Cleveland Cavaliers,L,,67,95,1,14,L 5,
16,Fri Dec 5 1997,,,Box Score,,Orlando Magic,W,,104,89,2,14,W 1,
17,Sun Dec 7 1997,,,Box Score,@,Sacramento Kings,L,,84,99,2,15,L 1,
18,Wed Dec 10 1997,,,Box Score,,Los Angeles Lakers,W,,93,92,3,15,W 1,
19,Fri Dec 12 1997,,,Box Score,@,Vancouver Grizzlies,L,,88,95,3,16,L 1,
20,Sat Dec 13 1997,,,Box Score,,Sacramento Kings,W,OT,95,91,4,16,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Tue Dec 16 1997,,,Box Score,,Dallas Mavericks,W,,103,92,5,16,W 2,
22,Thu Dec 18 1997,,,Box Score,@,Los Angeles Clippers,L,,78,82,5,17,L 1,at Anaheim CA
23,Sat Dec 20 1997,,,Box Score,@,Seattle SuperSonics,L,,89,108,5,18,L 2,
24,Mon Dec 22 1997,,,Box Score,@,Phoenix Suns,L,,76,91,5,19,L 3,
25,Tue Dec 23 1997,,,Box Score,,Denver Nuggets,W,,87,75,6,19,W 1,
26,Fri Dec 26 1997,,,Box Score,@,Denver Nuggets,W,,81,69,7,19,W 2,
27,Sat Dec 27 1997,,,Box Score,,Philadelphia 76ers,L,,78,85,7,20,L 1,
28,Tue Dec 30 1997,,,Box Score,,Seattle SuperSonics,L,,87,101,7,21,L 2,
29,Fri Jan 2 1998,,,Box Score,,Los Angeles Clippers,L,,79,94,7,22,L 3,
30,Wed Jan 7 1998,,,Box Score,,Atlanta Hawks,L,,86,106,7,23,L 4,
31,Fri Jan 9 1998,,,Box Score,@,Detroit Pistons,L,,72,101,7,24,L 5,
32,Sat Jan 10 1998,,,Box Score,@,Chicago Bulls,L,,82,87,7,25,L 6,
33,Mon Jan 12 1998,,,Box Score,@,Minnesota Timberwolves,L,,87,103,7,26,L 7,
34,Wed Jan 14 1998,,,Box Score,@,Milwaukee Bucks,L,,95,101,7,27,L 8,
35,Fri Jan 16 1998,,,Box Score,@,Atlanta Hawks,L,,89,102,7,28,L 9,at Atlanta GA (Alexander Memorial Coliseum at McDonald's Center)
36,Sat Jan 17 1998,,,Box Score,@,Philadelphia 76ers,L,,84,112,7,29,L 10,
37,Tue Jan 20 1998,,,Box Score,,Phoenix Suns,L,,69,87,7,30,L 11,
38,Wed Jan 21 1998,,,Box Score,@,Utah Jazz,L,,85,98,7,31,L 12,
39,Fri Jan 23 1998,,,Box Score,,Vancouver Grizzlies,L,,80,88,7,32,L 13,
40,Sat Jan 24 1998,,,Box Score,@,Vancouver Grizzlies,L,,96,107,7,33,L 14,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Tue Jan 27 1998,,,Box Score,@,Portland Trail Blazers,W,,82,78,8,33,W 1,
42,Thu Jan 29 1998,,,Box Score,@,Seattle SuperSonics,L,,97,109,8,34,L 1,
43,Fri Jan 30 1998,,,Box Score,,Chicago Bulls,L,,80,87,8,35,L 2,
44,Sun Feb 1 1998,,,Box Score,,Utah Jazz,L,,88,115,8,36,L 3,
45,Tue Feb 3 1998,,,Box Score,,San Antonio Spurs,L,,96,105,8,37,L 4,
46,Tue Feb 10 1998,,,Box Score,,Washington Wizards,L,,87,99,8,38,L 5,
47,Wed Feb 11 1998,,,Box Score,@,Los Angeles Lakers,L,,99,105,8,39,L 6,
48,Fri Feb 13 1998,,,Box Score,,Sacramento Kings,L,,92,109,8,40,L 7,
49,Sun Feb 15 1998,,,Box Score,,Boston Celtics,W,,101,87,9,40,W 1,
50,Tue Feb 17 1998,,,Box Score,@,Portland Trail Blazers,L,,83,101,9,41,L 1,
51,Wed Feb 18 1998,,,Box Score,,Charlotte Hornets,W,,88,77,10,41,W 1,
52,Fri Feb 20 1998,,,Box Score,,Denver Nuggets,W,,95,88,11,41,W 2,
53,Sun Feb 22 1998,,,Box Score,,Miami Heat,L,,82,90,11,42,L 1,
54,Tue Feb 24 1998,,,Box Score,@,New York Knicks,W,,87,82,12,42,W 1,
55,Thu Feb 26 1998,,,Box Score,@,Washington Wizards,L,,87,110,12,43,L 1,
56,Fri Feb 27 1998,,,Box Score,@,Boston Celtics,L,,88,120,12,44,L 2,
57,Sun Mar 1 1998,,,Box Score,@,Cleveland Cavaliers,L,,82,102,12,45,L 3,
58,Mon Mar 2 1998,,,Box Score,@,Charlotte Hornets,L,,83,112,12,46,L 4,
59,Wed Mar 4 1998,,,Box Score,,San Antonio Spurs,W,,90,83,13,46,W 1,
60,Fri Mar 6 1998,,,Box Score,,Indiana Pacers,L,,87,101,13,47,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Mon Mar 9 1998,,,Box Score,@,Sacramento Kings,W,,93,88,14,47,W 1,
62,Wed Mar 11 1998,,,Box Score,,Minnesota Timberwolves,L,,84,113,14,48,L 1,
63,Fri Mar 13 1998,,,Box Score,@,Phoenix Suns,L,,77,101,14,49,L 2,
64,Sun Mar 15 1998,,,Box Score,,Toronto Raptors,L,OT,98,100,14,50,L 3,
65,Tue Mar 17 1998,,,Box Score,,Los Angeles Clippers,L,,102,107,14,51,L 4,
66,Thu Mar 19 1998,,,Box Score,@,Dallas Mavericks,L,OT,82,88,14,52,L 5,
67,Fri Mar 20 1998,,,Box Score,@,Miami Heat,L,,87,93,14,53,L 6,
68,Sun Mar 22 1998,,,Box Score,@,Orlando Magic,L,,83,92,14,54,L 7,
69,Tue Mar 24 1998,,,Box Score,,New York Knicks,L,,75,88,14,55,L 8,
70,Thu Mar 26 1998,,,Box Score,,Seattle SuperSonics,W,,98,91,15,55,W 1,
71,Fri Mar 27 1998,,,Box Score,@,Denver Nuggets,L,,89,97,15,56,L 1,
72,Sun Mar 29 1998,,,Box Score,,Portland Trail Blazers,L,,83,99,15,57,L 2,
73,Tue Mar 31 1998,,,Box Score,,Milwaukee Bucks,L,OT,89,94,15,58,L 3,
74,Thu Apr 2 1998,,,Box Score,@,Houston Rockets,W,,104,94,16,58,W 1,
75,Sat Apr 4 1998,,,Box Score,@,San Antonio Spurs,L,OT,80,88,16,59,L 1,
76,Tue Apr 7 1998,,,Box Score,,Utah Jazz,L,,99,101,16,60,L 2,
77,Thu Apr 9 1998,,,Box Score,,Houston Rockets,L,,89,93,16,61,L 3,
