
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Tue Nov 2 1999,,,Box Score,@,Dallas Mavericks,L,,96,108,0,1,L 1,
2,Thu Nov 4 1999,,,Box Score,@,San Antonio Spurs,L,,81,104,0,2,L 2,
3,Sat Nov 6 1999,,,Box Score,,Dallas Mavericks,L,,97,120,0,3,L 3,
4,Tue Nov 9 1999,,,Box Score,,San Antonio Spurs,L,,89,118,0,4,L 4,
5,Fri Nov 12 1999,,,Box Score,@,Vancouver Grizzlies,W,,103,93,1,4,W 1,
6,Sat Nov 13 1999,,,Box Score,,Houston Rockets,L,,95,103,1,5,L 1,
7,Tue Nov 16 1999,,,Box Score,,Chicago Bulls,W,,99,79,2,5,W 1,
8,Wed Nov 17 1999,,,Box Score,@,Seattle SuperSonics,L,,108,111,2,6,L 1,
9,Sat Nov 20 1999,,,Box Score,,New York Knicks,L,,79,86,2,7,L 2,
10,Wed Nov 24 1999,,,Box Score,,New Jersey Nets,L,,84,92,2,8,L 3,
11,Fri Nov 26 1999,,,Box Score,@,Sacramento Kings,L,,95,124,2,9,L 4,
12,Sat Nov 27 1999,,,Box Score,,Toronto Raptors,L,,88,106,2,10,L 5,
13,Mon Nov 29 1999,,,Box Score,@,Utah Jazz,L,,99,115,2,11,L 6,
14,Wed Dec 1 1999,,,Box Score,@,Los Angeles Lakers,L,,75,93,2,12,L 7,
15,Thu Dec 2 1999,,,Box Score,,Seattle SuperSonics,L,,108,117,2,13,L 8,
16,Sat Dec 4 1999,,,Box Score,,Utah Jazz,L,,82,94,2,14,L 9,
17,Tue Dec 7 1999,,,Box Score,@,New York Knicks,L,,83,89,2,15,L 10,
18,Wed Dec 8 1999,,,Box Score,@,Charlotte Hornets,L,,106,113,2,16,L 11,
19,Fri Dec 10 1999,,,Box Score,@,Atlanta Hawks,W,,107,99,3,16,W 1,
20,Sat Dec 11 1999,,,Box Score,@,Minnesota Timberwolves,W,,104,76,4,16,W 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Tue Dec 14 1999,,,Box Score,,Miami Heat,W,,102,97,5,16,W 3,
22,Thu Dec 16 1999,,,Box Score,,Detroit Pistons,L,,108,116,5,17,L 1,
23,Fri Dec 17 1999,,,Box Score,@,Los Angeles Clippers,L,,91,92,5,18,L 2,
24,Mon Dec 20 1999,,,Box Score,,Sacramento Kings,W,,111,99,6,18,W 1,
25,Wed Dec 22 1999,,,Box Score,,Los Angeles Clippers,L,,99,103,6,19,L 1,
26,Thu Dec 23 1999,,,Box Score,@,Portland Trail Blazers,L,,91,111,6,20,L 2,
27,Sun Dec 26 1999,,,Box Score,@,Phoenix Suns,L,,88,108,6,21,L 3,
28,Mon Dec 27 1999,,,Box Score,,San Antonio Spurs,L,,83,105,6,22,L 4,
29,Wed Dec 29 1999,,,Box Score,,Philadelphia 76ers,L,,94,97,6,23,L 5,
30,Mon Jan 3 2000,,,Box Score,@,Washington Wizards,L,,87,99,6,24,L 6,
31,Wed Jan 5 2000,,,Box Score,@,Philadelphia 76ers,L,,92,113,6,25,L 7,
32,Thu Jan 6 2000,,,Box Score,@,Cleveland Cavaliers,L,,75,90,6,26,L 8,
33,Sun Jan 9 2000,,,Box Score,,Seattle SuperSonics,L,OT,95,100,6,27,L 9,
34,Tue Jan 11 2000,,,Box Score,,Dallas Mavericks,L,,102,109,6,28,L 10,
35,Thu Jan 13 2000,,,Box Score,,Houston Rockets,L,,100,108,6,29,L 11,
36,Sat Jan 15 2000,,,Box Score,,Sacramento Kings,L,,99,114,6,30,L 12,
37,Mon Jan 17 2000,,,Box Score,,Orlando Magic,W,,113,100,7,30,W 1,
38,Fri Jan 21 2000,,,Box Score,,Cleveland Cavaliers,W,,115,103,8,30,W 2,
39,Sun Jan 23 2000,,,Box Score,,Minnesota Timberwolves,L,,81,99,8,31,L 1,
40,Tue Jan 25 2000,,,Box Score,@,Dallas Mavericks,L,,103,117,8,32,L 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Thu Jan 27 2000,,,Box Score,@,Houston Rockets,W,,115,110,9,32,W 1,
42,Tue Feb 1 2000,,,Box Score,@,Los Angeles Clippers,W,,107,76,10,32,W 2,
43,Wed Feb 2 2000,,,Box Score,,Vancouver Grizzlies,W,,101,95,11,32,W 3,
44,Fri Feb 4 2000,,,Box Score,,Denver Nuggets,W,,103,101,12,32,W 4,
45,Sun Feb 6 2000,,,Box Score,@,New Jersey Nets,L,,90,110,12,33,L 1,
46,Mon Feb 7 2000,,,Box Score,@,Orlando Magic,L,,100,120,12,34,L 2,
47,Wed Feb 9 2000,,,Box Score,@,Miami Heat,L,,100,115,12,35,L 3,
48,Tue Feb 15 2000,,,Box Score,,Portland Trail Blazers,L,,83,92,12,36,L 4,
49,Wed Feb 16 2000,,,Box Score,@,Portland Trail Blazers,L,,95,99,12,37,L 5,
50,Fri Feb 18 2000,,,Box Score,,Boston Celtics,W,,122,100,13,37,W 1,
51,Sun Feb 20 2000,,,Box Score,,Washington Wizards,W,,112,103,14,37,W 2,
52,Tue Feb 22 2000,,,Box Score,@,Minnesota Timberwolves,L,,89,112,14,38,L 1,
53,Wed Feb 23 2000,,,Box Score,@,Milwaukee Bucks,W,,91,86,15,38,W 1,
