
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
64,Sat Mar 16 1991,,,Box Score,,Chicago Bulls,L,,98,102,23,41,L 1,
65,Wed Mar 20 1991,,,Box Score,@,New York Knicks,L,,97,102,23,42,L 2,
66,Fri Mar 22 1991,,,Box Score,@,Minnesota Timberwolves,L,,105,110,23,43,L 3,
67,Sat Mar 23 1991,,,Box Score,,New Jersey Nets,W,,108,82,24,43,W 1,
68,Tue Mar 26 1991,,,Box Score,@,Miami Heat,L,,98,104,24,44,L 1,
69,Thu Mar 28 1991,,,Box Score,,Washington Bullets,W,,102,95,25,44,W 1,
70,Fri Mar 29 1991,,,Box Score,@,Boston Celtics,L,,108,110,25,45,L 1,
71,Sun Mar 31 1991,,,Box Score,@,Philadelphia 76ers,L,,101,110,25,46,L 2,
72,Tue Apr 2 1991,,,Box Score,@,Washington Bullets,L,,82,101,25,47,L 3,
73,Wed Apr 3 1991,,,Box Score,,New York Knicks,W,,95,84,26,47,W 1,
74,Fri Apr 5 1991,,,Box Score,,Charlotte Hornets,W,,104,101,27,47,W 2,
75,Sun Apr 7 1991,,,Box Score,@,Charlotte Hornets,W,,102,100,28,47,W 3,
76,Tue Apr 9 1991,,,Box Score,,Atlanta Hawks,L,,98,104,28,48,L 1,
77,Wed Apr 10 1991,,,Box Score,@,Detroit Pistons,W,,94,90,29,48,W 1,
78,Fri Apr 12 1991,,,Box Score,@,New Jersey Nets,L,,103,104,29,49,L 1,
79,Sat Apr 13 1991,,,Box Score,,New Jersey Nets,W,,102,98,30,49,W 1,
80,Wed Apr 17 1991,,,Box Score,,Orlando Magic,W,,112,102,31,49,W 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Fri Apr 19 1991,,,Box Score,,Boston Celtics,W,OT,124,117,32,49,W 3,
82,Sun Apr 21 1991,,,Box Score,,Philadelphia 76ers,W,,123,110,33,49,W 4,
