
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
57,Thu Mar 1 2001,7:00p EST,,Box Score,@,San Antonio Spurs,L,,71,91,34,23,L 2,
58,Sat Mar 3 2001,7:00p EST,,Box Score,,Denver Nuggets,W,,97,82,35,23,W 1,
59,Tue Mar 6 2001,7:00p EST,,Box Score,@,Denver Nuggets,W,,93,82,36,23,W 2,
60,Wed Mar 7 2001,6:00p EST,,Box Score,,Sacramento Kings,L,,89,100,36,24,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Fri Mar 9 2001,7:00p EST,,Box Score,@,Utah Jazz,L,,95,107,36,25,L 2,
62,Sun Mar 11 2001,6:00p EST,,Box Score,,Houston Rockets,W,,94,92,37,25,W 1,
63,Wed Mar 14 2001,7:00p EST,,Box Score,@,Portland Trail Blazers,W,,84,79,38,25,W 2,
64,Thu Mar 15 2001,7:00p EST,,Box Score,,Boston Celtics,L,,101,105,38,26,L 1,
65,Sat Mar 17 2001,7:30p EST,,Box Score,@,Dallas Mavericks,L,,99,109,38,27,L 2,
66,Tue Mar 20 2001,7:00p EST,,Box Score,,Washington Wizards,W,,105,91,39,27,W 1,
67,Thu Mar 22 2001,7:00p EST,,Box Score,@,Seattle SuperSonics,W,,91,88,40,27,W 2,
68,Fri Mar 23 2001,7:00p EST,,Box Score,,Philadelphia 76ers,W,,84,71,41,27,W 3,
69,Mon Mar 26 2001,7:00p EST,,Box Score,,Los Angeles Lakers,W,,104,83,42,27,W 4,
70,Wed Mar 28 2001,7:00p EST,,Box Score,,Cleveland Cavaliers,W,,103,94,43,27,W 5,
71,Thu Mar 29 2001,7:30p EST,,Box Score,@,Houston Rockets,W,,90,85,44,27,W 6,
72,Sun Apr 1 2001,6:00p EST,,Box Score,,Milwaukee Bucks,W,,106,99,45,27,W 7,
73,Tue Apr 3 2001,7:00p EST,,Box Score,@,Indiana Pacers,L,,81,85,45,28,L 1,
74,Wed Apr 4 2001,7:30p EST,,Box Score,@,Charlotte Hornets,W,,103,94,46,28,W 1,
75,Fri Apr 6 2001,7:00p EST,,Box Score,@,Minnesota Timberwolves,L,,88,101,46,29,L 1,
76,Sat Apr 7 2001,7:30p EST,,Box Score,@,Cleveland Cavaliers,W,,102,98,47,29,W 1,
77,Tue Apr 10 2001,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,80,106,47,30,L 1,
78,Wed Apr 11 2001,7:00p EST,,Box Score,,Dallas Mavericks,W,,111,106,48,30,W 1,
79,Fri Apr 13 2001,7:00p EST,,Box Score,,Seattle SuperSonics,W,,109,100,49,30,W 2,
80,Sun Apr 15 2001,7:00p EST,,Box Score,,Sacramento Kings,W,,88,86,50,30,W 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Mon Apr 16 2001,7:30p EST,,Box Score,@,Los Angeles Clippers,L,,80,100,50,31,L 1,
82,Wed Apr 18 2001,7:30p EST,,Box Score,,Utah Jazz,W,,98,93,51,31,W 1,
