
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Fri Nov 2 1990,,,Box Score,@,Utah Jazz,W,,119,96,1,0,W 1,at Tokyo Japan (Tokyo Metropolitan Gymnasium)
2,Sat Nov 3 1990,,,Box Score,,Utah Jazz,L,,101,102,1,1,L 1,at Tokyo Japan (Tokyo Metropolitan Gymnasium)
3,Wed Nov 7 1990,,,Box Score,,Golden State Warriors,W,,126,119,2,1,W 1,
4,Sat Nov 10 1990,,,Box Score,,Denver Nuggets,W,,173,143,3,1,W 2,
5,Tue Nov 13 1990,,,Box Score,@,Los Angeles Lakers,W,,112,111,4,1,W 3,
6,Wed Nov 14 1990,,,Box Score,@,Los Angeles Clippers,L,,102,108,4,2,L 1,
7,Fri Nov 16 1990,,,Box Score,,Los Angeles Clippers,W,OT,121,110,5,2,W 1,
8,Sat Nov 17 1990,,,Box Score,@,San Antonio Spurs,L,,114,128,5,3,L 1,
9,Wed Nov 21 1990,,,Box Score,,Chicago Bulls,W,,109,107,6,3,W 1,
10,Fri Nov 23 1990,,,Box Score,,New Jersey Nets,L,,114,116,6,4,L 1,
11,Tue Nov 27 1990,,,Box Score,@,Portland Trail Blazers,W,,123,109,7,4,W 1,
12,Thu Nov 29 1990,,,Box Score,,Seattle SuperSonics,W,,128,110,8,4,W 2,
13,Sat Dec 1 1990,,,Box Score,,Los Angeles Lakers,L,,98,108,8,5,L 1,
14,Tue Dec 4 1990,,,Box Score,@,Chicago Bulls,L,,127,155,8,6,L 2,
15,Wed Dec 5 1990,,,Box Score,@,Indiana Pacers,L,,121,126,8,7,L 3,
16,Fri Dec 7 1990,,,Box Score,@,New Jersey Nets,W,,129,110,9,7,W 1,
17,Sat Dec 8 1990,,,Box Score,@,Orlando Magic,W,,113,109,10,7,W 2,
18,Tue Dec 11 1990,,,Box Score,,Sacramento Kings,W,,113,90,11,7,W 3,
19,Thu Dec 13 1990,,,Box Score,,Orlando Magic,W,,125,114,12,7,W 4,
20,Sat Dec 15 1990,,,Box Score,@,Denver Nuggets,W,,142,134,13,7,W 5,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Tue Dec 18 1990,,,Box Score,@,Dallas Mavericks,W,,114,95,14,7,W 6,
22,Wed Dec 19 1990,,,Box Score,,Minnesota Timberwolves,W,,112,96,15,7,W 7,
23,Fri Dec 21 1990,,,Box Score,,San Antonio Spurs,L,OT,128,132,15,8,L 1,
24,Sat Dec 22 1990,,,Box Score,@,Houston Rockets,L,,102,122,15,9,L 2,
25,Wed Dec 26 1990,,,Box Score,,Dallas Mavericks,W,,115,88,16,9,W 1,
26,Fri Dec 28 1990,,,Box Score,,Philadelphia 76ers,W,,115,96,17,9,W 2,
27,Sat Dec 29 1990,,,Box Score,,Miami Heat,W,,134,95,18,9,W 3,
28,Wed Jan 2 1991,,,Box Score,@,Cleveland Cavaliers,W,,105,83,19,9,W 4,
29,Fri Jan 4 1991,,,Box Score,@,Boston Celtics,L,,103,132,19,10,L 1,
30,Sat Jan 5 1991,,,Box Score,@,Milwaukee Bucks,L,,86,88,19,11,L 2,
31,Mon Jan 7 1991,,,Box Score,@,Minnesota Timberwolves,W,,119,106,20,11,W 1,
32,Wed Jan 9 1991,,,Box Score,,Cleveland Cavaliers,W,,113,105,21,11,W 2,
33,Fri Jan 11 1991,,,Box Score,,Houston Rockets,W,,114,110,22,11,W 3,
34,Sat Jan 12 1991,,,Box Score,@,Golden State Warriors,W,,127,118,23,11,W 4,
35,Tue Jan 15 1991,,,Box Score,,Washington Bullets,W,,127,97,24,11,W 5,
36,Fri Jan 18 1991,,,Box Score,,Detroit Pistons,W,,103,102,25,11,W 6,
37,Sat Jan 19 1991,,,Box Score,@,Sacramento Kings,L,,97,101,25,12,L 1,
38,Tue Jan 22 1991,,,Box Score,@,Portland Trail Blazers,L,,116,123,25,13,L 2,
39,Fri Jan 25 1991,,,Box Score,,Seattle SuperSonics,W,,128,113,26,13,W 1,
40,Sat Jan 26 1991,,,Box Score,,New York Knicks,W,,112,94,27,13,W 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Tue Jan 29 1991,,,Box Score,@,Orlando Magic,L,,112,114,27,14,L 1,
42,Wed Jan 30 1991,,,Box Score,@,Miami Heat,W,,115,104,28,14,W 1,
43,Fri Feb 1 1991,,,Box Score,@,Philadelphia 76ers,L,,89,96,28,15,L 1,
44,Sun Feb 3 1991,,,Box Score,@,Detroit Pistons,W,,112,97,29,15,W 1,
45,Tue Feb 5 1991,,,Box Score,,Denver Nuggets,W,,126,103,30,15,W 2,
46,Wed Feb 6 1991,,,Box Score,@,Utah Jazz,L,,99,103,30,16,L 1,
47,Tue Feb 12 1991,,,Box Score,,Los Angeles Lakers,W,,99,95,31,16,W 1,
48,Thu Feb 14 1991,,,Box Score,@,San Antonio Spurs,W,,106,97,32,16,W 2,
49,Sat Feb 16 1991,,,Box Score,@,Houston Rockets,L,,91,100,32,17,L 1,
50,Tue Feb 19 1991,,,Box Score,,Boston Celtics,W,,109,105,33,17,W 1,
51,Wed Feb 20 1991,,,Box Score,@,Los Angeles Clippers,W,,113,93,34,17,W 2,
52,Fri Feb 22 1991,,,Box Score,@,Portland Trail Blazers,L,,106,127,34,18,L 1,
53,Sat Feb 23 1991,,,Box Score,@,Seattle SuperSonics,W,,120,110,35,18,W 1,
54,Mon Feb 25 1991,,,Box Score,,Charlotte Hornets,W,,128,108,36,18,W 2,
55,Wed Feb 27 1991,,,Box Score,,Orlando Magic,L,,116,124,36,19,L 1,
56,Fri Mar 1 1991,,,Box Score,,Sacramento Kings,W,,112,106,37,19,W 1,
57,Mon Mar 4 1991,,,Box Score,@,Charlotte Hornets,W,,126,93,38,19,W 2,
58,Tue Mar 5 1991,,,Box Score,@,New York Knicks,W,,107,102,39,19,W 3,
59,Thu Mar 7 1991,,,Box Score,@,Atlanta Hawks,W,,106,104,40,19,W 4,
