
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
64,Tue Mar 17 1998,,,Box Score,@,New York Knicks,L,,96,100,24,40,L 1,
65,Wed Mar 18 1998,,,Box Score,@,Detroit Pistons,W,,104,96,25,40,W 1,
66,Fri Mar 20 1998,,,Box Score,,Utah Jazz,L,,79,91,25,41,L 1,
67,Sun Mar 22 1998,,,Box Score,@,Boston Celtics,L,,90,108,25,42,L 2,
68,Mon Mar 23 1998,,,Box Score,,Detroit Pistons,L,,79,94,25,43,L 3,
69,Wed Mar 25 1998,,,Box Score,,New Jersey Nets,L,,86,91,25,44,L 4,
70,Fri Mar 27 1998,,,Box Score,,San Antonio Spurs,L,,85,110,25,45,L 5,
71,Sun Mar 29 1998,,,Box Score,,Boston Celtics,W,,99,94,26,45,W 1,
72,Tue Mar 31 1998,,,Box Score,@,Charlotte Hornets,L,,93,101,26,46,L 1,
73,Wed Apr 1 1998,,,Box Score,@,Washington Wizards,W,,112,91,27,46,W 1,
74,Fri Apr 3 1998,,,Box Score,,Los Angeles Clippers,W,,93,78,28,46,W 2,
75,Sun Apr 5 1998,,,Box Score,,Toronto Raptors,W,,116,104,29,46,W 3,
76,Mon Apr 6 1998,,,Box Score,@,Orlando Magic,L,,92,113,29,47,L 1,
77,Wed Apr 8 1998,,,Box Score,,Charlotte Hornets,W,,109,101,30,47,W 1,
78,Fri Apr 10 1998,,,Box Score,@,Minnesota Timberwolves,L,,102,107,30,48,L 1,
79,Sat Apr 11 1998,,,Box Score,@,Cleveland Cavaliers,L,,95,106,30,49,L 2,
80,Tue Apr 14 1998,,,Box Score,@,Atlanta Hawks,L,,94,95,30,50,L 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Fri Apr 17 1998,,,Box Score,,Chicago Bulls,L,,80,87,30,51,L 4,
82,Sun Apr 19 1998,,,Box Score,@,Toronto Raptors,W,,107,78,31,51,W 1,at Toronto Canada (Maple Leaf Gardens)
