
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Fri Nov 5 1993,,,Box Score,@,Houston Rockets,L,,88,110,0,1,L 1,
2,Sun Nov 7 1993,,,Box Score,@,San Antonio Spurs,W,,99,73,1,1,W 1,
3,Tue Nov 9 1993,,,Box Score,@,Dallas Mavericks,W,,86,80,2,1,W 2,
4,Thu Nov 11 1993,,,Box Score,,Indiana Pacers,L,OT,105,108,2,2,L 1,
5,Sat Nov 13 1993,,,Box Score,,Philadelphia 76ers,L,,97,98,2,3,L 2,
6,Sun Nov 14 1993,,,Box Score,,Sacramento Kings,W,,132,102,3,3,W 1,
7,Tue Nov 16 1993,,,Box Score,,Houston Rockets,L,,84,90,3,4,L 1,
8,Wed Nov 17 1993,,,Box Score,@,Boston Celtics,L,,100,105,3,5,L 2,
9,Sat Nov 20 1993,,,Box Score,,Orlando Magic,L,,85,87,3,6,L 3,
10,Sun Nov 21 1993,,,Box Score,,Los Angeles Lakers,W,,105,102,4,6,W 1,
11,Wed Nov 24 1993,,,Box Score,@,Minnesota Timberwolves,L,,106,107,4,7,L 1,
12,Fri Nov 26 1993,,,Box Score,@,Utah Jazz,L,,97,100,4,8,L 2,
13,Sat Nov 27 1993,,,Box Score,@,Denver Nuggets,L,,89,111,4,9,L 3,
14,Mon Nov 29 1993,,,Box Score,@,Los Angeles Clippers,L,,94,118,4,10,L 4,
15,Wed Dec 1 1993,,,Box Score,,Cleveland Cavaliers,W,,97,82,5,10,W 1,
16,Fri Dec 3 1993,,,Box Score,,Phoenix Suns,L,,103,104,5,11,L 1,
17,Tue Dec 7 1993,,,Box Score,,Boston Celtics,W,,117,90,6,11,W 1,
18,Fri Dec 10 1993,,,Box Score,,Chicago Bulls,L,,105,109,6,12,L 1,
19,Sat Dec 11 1993,,,Box Score,@,Charlotte Hornets,L,,99,105,6,13,L 2,
20,Mon Dec 13 1993,,,Box Score,,Miami Heat,W,2OT,110,105,7,13,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Thu Dec 16 1993,,,Box Score,,Charlotte Hornets,W,,111,95,8,13,W 2,
22,Sat Dec 18 1993,,,Box Score,@,Indiana Pacers,L,,98,108,8,14,L 1,
23,Tue Dec 21 1993,,,Box Score,,New York Knicks,W,,85,81,9,14,W 1,
24,Thu Dec 23 1993,,,Box Score,@,Orlando Magic,L,,112,122,9,15,L 1,
25,Sun Dec 26 1993,,,Box Score,,Atlanta Hawks,W,,91,87,10,15,W 1,
26,Tue Dec 28 1993,,,Box Score,@,New York Knicks,W,,97,95,11,15,W 2,
27,Wed Dec 29 1993,,,Box Score,@,Chicago Bulls,L,,86,94,11,16,L 1,
28,Sun Jan 2 1994,,,Box Score,@,Boston Celtics,W,,101,97,12,16,W 1,
29,Tue Jan 4 1994,,,Box Score,@,Miami Heat,L,,83,100,12,17,L 1,
30,Wed Jan 5 1994,,,Box Score,,Milwaukee Bucks,L,,91,100,12,18,L 2,
31,Sat Jan 8 1994,,,Box Score,@,Milwaukee Bucks,W,,90,87,13,18,W 1,
