
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Tue Nov 2 1999,,,Box Score,@,New Jersey Nets,W,,119,112,1,0,W 1,
2,Thu Nov 4 1999,,,Box Score,@,Charlotte Hornets,L,,89,98,1,1,L 1,
3,Sat Nov 6 1999,,,Box Score,,Boston Celtics,W,,115,108,2,1,W 1,
4,Tue Nov 9 1999,,,Box Score,@,Miami Heat,L,,101,113,2,2,L 1,
5,Thu Nov 11 1999,,,Box Score,,Orlando Magic,W,,116,101,3,2,W 1,
6,Sat Nov 13 1999,,,Box Score,,Washington Wizards,W,,105,83,4,2,W 2,
7,Mon Nov 15 1999,,,Box Score,@,Houston Rockets,W,,96,87,5,2,W 3,
8,Tue Nov 16 1999,,,Box Score,@,San Antonio Spurs,L,OT,87,90,5,3,L 1,
9,Fri Nov 19 1999,,,Box Score,,Atlanta Hawks,L,,99,105,5,4,L 2,
10,Sat Nov 20 1999,,,Box Score,@,Cleveland Cavaliers,W,,107,98,6,4,W 1,
11,Mon Nov 22 1999,,,Box Score,@,Boston Celtics,L,,85,95,6,5,L 1,
12,Thu Nov 25 1999,,,Box Score,,Detroit Pistons,L,,99,107,6,6,L 2,
13,Fri Nov 26 1999,,,Box Score,,Vancouver Grizzlies,W,,105,86,7,6,W 1,
14,Sun Nov 28 1999,,,Box Score,@,Seattle SuperSonics,L,,91,102,7,7,L 1,
15,Mon Nov 29 1999,,,Box Score,@,Portland Trail Blazers,W,,93,91,8,7,W 1,
16,Wed Dec 1 1999,,,Box Score,@,Vancouver Grizzlies,W,,96,89,9,7,W 2,
17,Fri Dec 3 1999,,,Box Score,@,Utah Jazz,W,,100,75,10,7,W 3,
18,Tue Dec 7 1999,,,Box Score,,San Antonio Spurs,W,,83,77,11,7,W 4,
19,Fri Dec 10 1999,,,Box Score,,Cleveland Cavaliers,W,,136,88,12,7,W 5,
20,Sat Dec 11 1999,,,Box Score,,Los Angeles Clippers,W,,108,90,13,7,W 6,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Tue Dec 14 1999,,,Box Score,@,Toronto Raptors,L,,97,105,13,8,L 1,
22,Wed Dec 15 1999,,,Box Score,,Chicago Bulls,W,,102,91,14,8,W 1,
23,Fri Dec 17 1999,,,Box Score,,Utah Jazz,W,,89,74,15,8,W 2,
24,Sat Dec 18 1999,,,Box Score,@,Milwaukee Bucks,L,,95,109,15,9,L 1,
25,Tue Dec 21 1999,,,Box Score,,Seattle SuperSonics,W,,113,103,16,9,W 1,
26,Sat Dec 25 1999,,,Box Score,,New York Knicks,W,,101,90,17,9,W 2,
27,Mon Dec 27 1999,,,Box Score,@,Chicago Bulls,W,,103,91,18,9,W 3,
28,Wed Dec 29 1999,,,Box Score,@,Atlanta Hawks,W,,116,89,19,9,W 4,
29,Thu Dec 30 1999,,,Box Score,,Charlotte Hornets,W,,109,99,20,9,W 5,
30,Tue Jan 4 2000,,,Box Score,,New Jersey Nets,W,,116,111,21,9,W 6,
31,Thu Jan 6 2000,,,Box Score,@,Denver Nuggets,W,,102,87,22,9,W 7,
32,Sat Jan 8 2000,,,Box Score,@,Los Angeles Clippers,L,,94,107,22,10,L 1,
33,Sun Jan 9 2000,,,Box Score,@,Sacramento Kings,L,,113,116,22,11,L 2,
34,Wed Jan 12 2000,,,Box Score,,Washington Wizards,W,,117,102,23,11,W 1,
35,Fri Jan 14 2000,,,Box Score,,Los Angeles Lakers,W,,111,102,24,11,W 2,
36,Sat Jan 15 2000,,,Box Score,@,Orlando Magic,W,,96,89,25,11,W 3,
37,Mon Jan 17 2000,,,Box Score,@,Minnesota Timberwolves,L,,100,101,25,12,L 1,
38,Wed Jan 19 2000,,,Box Score,,Milwaukee Bucks,W,,106,84,26,12,W 1,
