
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
57,Sun Mar 4 2001,3:00p EST,,Box Score,,New Jersey Nets,L,,96,120,26,31,L 2,
58,Tue Mar 6 2001,8:00p EST,,Box Score,@,New York Knicks,L,,83,97,26,32,L 3,
59,Wed Mar 7 2001,7:00p EST,,Box Score,,New York Knicks,L,,75,79,26,33,L 4,
60,Fri Mar 9 2001,7:00p EST,,Box Score,,Cleveland Cavaliers,W,,99,84,27,33,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Sun Mar 11 2001,7:00p EST,,Box Score,@,Detroit Pistons,L,,78,95,27,34,L 1,
62,Tue Mar 13 2001,7:30p EST,,Box Score,@,Houston Rockets,L,3OT,118,127,27,35,L 2,
63,Wed Mar 14 2001,7:00p EST,,Box Score,@,Denver Nuggets,L,,83,95,27,36,L 3,
64,Fri Mar 16 2001,7:00p EST,,Box Score,,Atlanta Hawks,W,,103,97,28,36,W 1,
65,Sun Mar 18 2001,3:00p EST,,Box Score,,Sacramento Kings,W,,101,95,29,36,W 2,
66,Tue Mar 20 2001,8:00p EST,,Box Score,@,Toronto Raptors,L,,81,102,29,37,L 1,
67,Wed Mar 21 2001,7:00p EST,,Box Score,,Orlando Magic,W,,96,95,30,37,W 1,
68,Fri Mar 23 2001,7:00p EST,,Box Score,,Vancouver Grizzlies,W,,95,75,31,37,W 2,
69,Sun Mar 25 2001,12:00p EST,,Box Score,@,Orlando Magic,L,,82,84,31,38,L 1,
70,Tue Mar 27 2001,7:00p EST,,Box Score,@,Washington Wizards,W,,110,102,32,38,W 1,
71,Thu Mar 29 2001,7:30p EST,,Box Score,@,Atlanta Hawks,L,,93,104,32,39,L 1,
72,Fri Mar 30 2001,7:30p EST,,Box Score,@,Boston Celtics,W,,92,87,33,39,W 1,
73,Sun Apr 1 2001,12:30p EST,,Box Score,@,Philadelphia 76ers,L,,93,104,33,40,L 1,
74,Tue Apr 3 2001,7:00p EST,,Box Score,,Phoenix Suns,W,,85,81,34,40,W 1,
75,Fri Apr 6 2001,7:00p EST,,Box Score,,Chicago Bulls,W,,100,93,35,40,W 2,
76,Sun Apr 8 2001,1:00p EST,,Box Score,@,New Jersey Nets,W,,108,83,36,40,W 3,
77,Mon Apr 9 2001,7:00p EST,,Box Score,,Washington Wizards,W,,100,78,37,40,W 4,
78,Wed Apr 11 2001,7:00p EST,,Box Score,,New York Knicks,W,,100,93,38,40,W 5,
79,Fri Apr 13 2001,7:00p EST,,Box Score,,Boston Celtics,W,OT,113,108,39,40,W 6,
80,Sun Apr 15 2001,2:00p EST,,Box Score,@,Chicago Bulls,W,,93,86,40,40,W 7,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Tue Apr 17 2001,7:00p EST,,Box Score,,Philadelphia 76ers,L,OT,105,111,40,41,L 1,
82,Wed Apr 18 2001,7:30p EST,,Box Score,@,Cleveland Cavaliers,W,OT,105,101,41,41,W 1,
