
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Tue Oct 30 2001,7:30p EST,,Box Score,,Los Angeles Clippers,W,,109,98,1,0,W 1,
2,Thu Nov 1 2001,7:00p EST,,Box Score,@,Seattle SuperSonics,L,,108,114,1,1,L 1,
3,Sat Nov 3 2001,7:00p EST,,Box Score,@,Portland Trail Blazers,W,,106,90,2,1,W 1,
4,Sun Nov 4 2001,6:00p EST,,Box Score,@,Sacramento Kings,L,,83,103,2,2,L 1,
5,Tue Nov 6 2001,7:00p EST,,Box Score,,Orlando Magic,W,,104,89,3,2,W 1,
6,Thu Nov 8 2001,7:00p EST,,Box Score,@,Charlotte Hornets,W,,105,95,4,2,W 2,
7,Sat Nov 10 2001,7:30p EST,,Box Score,,Atlanta Hawks,W,,110,88,5,2,W 3,
8,Tue Nov 13 2001,7:30p EST,,Box Score,,Houston Rockets,W,,90,86,6,2,W 4,
9,Fri Nov 16 2001,7:30p EST,,Box Score,,Cleveland Cavaliers,W,,105,91,7,2,W 5,
10,Wed Nov 21 2001,7:30p EST,,Box Score,,Seattle SuperSonics,W,,110,93,8,2,W 6,
11,Fri Nov 23 2001,8:00p EST,,Box Score,@,Indiana Pacers,W,,97,79,9,2,W 7,
12,Sat Nov 24 2001,7:00p EST,,Box Score,@,Minnesota Timberwolves,L,,94,99,9,3,L 1,
13,Wed Nov 28 2001,7:30p EST,,Box Score,,Golden State Warriors,W,,94,83,10,3,W 1,
14,Fri Nov 30 2001,7:30p EST,,Box Score,,Sacramento Kings,L,OT,106,109,10,4,L 1,
15,Sat Dec 1 2001,7:30p EST,,Box Score,@,Houston Rockets,W,,85,75,11,4,W 1,
16,Tue Dec 4 2001,7:30p EST,,Box Score,,Washington Wizards,W,,103,88,12,4,W 2,
17,Wed Dec 5 2001,7:30p EST,,Box Score,@,Atlanta Hawks,W,,120,112,13,4,W 3,
18,Fri Dec 7 2001,7:30p EST,,Box Score,,Philadelphia 76ers,W,,86,76,14,4,W 4,
19,Wed Dec 12 2001,7:00p EST,,Box Score,,Toronto Raptors,W,,108,95,15,4,W 5,
20,Fri Dec 14 2001,7:00p EST,,Box Score,@,Phoenix Suns,W,,105,93,16,4,W 6,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Sat Dec 15 2001,7:30p EST,,Box Score,,Utah Jazz,W,,100,80,17,4,W 7,
22,Tue Dec 18 2001,7:00p EST,,Box Score,@,Denver Nuggets,W,,102,93,18,4,W 8,
