
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
64,Tue Mar 14 2000,,,Box Score,,Atlanta Hawks,W,,94,79,41,23,W 1,
65,Thu Mar 16 2000,,,Box Score,,Dallas Mavericks,L,,88,110,41,24,L 1,
66,Sat Mar 18 2000,,,Box Score,,Denver Nuggets,W,,102,82,42,24,W 1,
67,Tue Mar 21 2000,,,Box Score,@,Dallas Mavericks,L,,96,97,42,25,L 1,
68,Wed Mar 22 2000,,,Box Score,,Los Angeles Clippers,W,,103,78,43,25,W 1,
69,Sat Mar 25 2000,,,Box Score,,Cleveland Cavaliers,W,,96,76,44,25,W 2,
70,Mon Mar 27 2000,,,Box Score,@,Seattle SuperSonics,W,,90,82,45,25,W 3,
71,Tue Mar 28 2000,,,Box Score,@,Portland Trail Blazers,W,,89,85,46,25,W 4,
72,Thu Mar 30 2000,,,Box Score,,Golden State Warriors,W,,102,90,47,25,W 5,
73,Sun Apr 2 2000,,,Box Score,@,Miami Heat,L,,84,88,47,26,L 1,
74,Tue Apr 4 2000,,,Box Score,@,Orlando Magic,L,,97,107,47,27,L 2,
75,Wed Apr 5 2000,,,Box Score,,Sacramento Kings,L,,98,108,47,28,L 3,
76,Sat Apr 8 2000,,,Box Score,@,Los Angeles Lakers,W,,98,80,48,28,W 1,
77,Sun Apr 9 2000,,,Box Score,@,Vancouver Grizzlies,W,,107,99,49,28,W 2,
78,Tue Apr 11 2000,,,Box Score,@,Sacramento Kings,W,OT,98,92,50,28,W 3,
79,Thu Apr 13 2000,,,Box Score,,Portland Trail Blazers,L,,77,93,50,29,L 1,
80,Sat Apr 15 2000,,,Box Score,,Utah Jazz,W,,106,83,51,29,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Mon Apr 17 2000,,,Box Score,,Vancouver Grizzlies,W,,100,93,52,29,W 2,
82,Wed Apr 19 2000,,,Box Score,,Los Angeles Lakers,W,OT,103,98,53,29,W 3,
