
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
64,Sat Mar 16 1991,,,Box Score,,Utah Jazz,L,OT,98,104,30,34,L 5,
65,Wed Mar 20 1991,,,Box Score,,Los Angeles Lakers,W,,114,106,31,34,W 1,
66,Fri Mar 22 1991,,,Box Score,@,Phoenix Suns,W,,111,105,32,34,W 2,
67,Sun Mar 24 1991,,,Box Score,@,Los Angeles Lakers,L,,96,113,32,35,L 1,
68,Tue Mar 26 1991,,,Box Score,@,Portland Trail Blazers,L,,113,126,32,36,L 2,
69,Wed Mar 27 1991,,,Box Score,,Portland Trail Blazers,L,,107,112,32,37,L 3,at Tacoma WA
70,Fri Mar 29 1991,,,Box Score,,Minnesota Timberwolves,W,,117,107,33,37,W 1,
71,Sat Mar 30 1991,,,Box Score,,Dallas Mavericks,W,,115,102,34,37,W 2,
72,Wed Apr 3 1991,,,Box Score,,Sacramento Kings,W,,106,91,35,37,W 3,
73,Fri Apr 5 1991,,,Box Score,@,Los Angeles Clippers,L,,90,109,35,38,L 1,
74,Sun Apr 7 1991,,,Box Score,@,Denver Nuggets,W,,124,117,36,38,W 1,
75,Mon Apr 8 1991,,,Box Score,,Denver Nuggets,W,,118,112,37,38,W 2,
76,Wed Apr 10 1991,,,Box Score,,Los Angeles Clippers,W,,140,108,38,38,W 3,at Tacoma WA
77,Fri Apr 12 1991,,,Box Score,,San Antonio Spurs,W,,100,99,39,38,W 4,
78,Sat Apr 13 1991,,,Box Score,,Orlando Magic,W,,105,96,40,38,W 5,
79,Mon Apr 15 1991,,,Box Score,,Houston Rockets,L,,93,97,40,39,L 1,
80,Thu Apr 18 1991,,,Box Score,@,Utah Jazz,L,,103,130,40,40,L 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Fri Apr 19 1991,,,Box Score,,Phoenix Suns,W,,104,93,41,40,W 1,
82,Sun Apr 21 1991,,,Box Score,@,Los Angeles Lakers,L,,100,103,41,41,L 1,
