
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Fri Feb 5 1999,,,Box Score,,New York Knicks,W,,93,85,1,0,W 1,
2,Sat Feb 6 1999,,,Box Score,@,Philadelphia 76ers,L,,75,95,1,1,L 1,
3,Mon Feb 8 1999,,,Box Score,,Boston Celtics,W,,107,90,2,1,W 1,
4,Wed Feb 10 1999,,,Box Score,@,New Jersey Nets,W,,89,81,3,1,W 2,
5,Thu Feb 11 1999,,,Box Score,@,Detroit Pistons,W,,87,81,4,1,W 3,
6,Sun Feb 14 1999,,,Box Score,,Milwaukee Bucks,W,,85,82,5,1,W 4,
7,Tue Feb 16 1999,,,Box Score,@,Cleveland Cavaliers,L,,78,90,5,2,L 1,
8,Wed Feb 17 1999,,,Box Score,,Washington Wizards,W,,96,85,6,2,W 1,
9,Fri Feb 19 1999,,,Box Score,@,Atlanta Hawks,W,OT,99,94,7,2,W 2,at Atlanta GA (Alexander Memorial Coliseum at McDonald's Center)
10,Sun Feb 21 1999,,,Box Score,,Houston Rockets,W,,109,83,8,2,W 3,
11,Mon Feb 22 1999,,,Box Score,,Sacramento Kings,W,,107,96,9,2,W 4,
12,Wed Feb 24 1999,,,Box Score,@,Boston Celtics,L,,79,111,9,3,L 1,
13,Fri Feb 26 1999,,,Box Score,,Indiana Pacers,W,OT,103,100,10,3,W 1,
14,Sun Feb 28 1999,,,Box Score,@,Miami Heat,L,,78,84,10,4,L 1,
15,Mon Mar 1 1999,,,Box Score,,Atlanta Hawks,W,,70,67,11,4,W 1,
16,Wed Mar 3 1999,,,Box Score,,Charlotte Hornets,W,,93,76,12,4,W 2,
17,Fri Mar 5 1999,,,Box Score,@,Toronto Raptors,W,,89,84,13,4,W 3,
18,Sat Mar 6 1999,,,Box Score,,Detroit Pistons,W,,87,82,14,4,W 4,
19,Mon Mar 8 1999,,,Box Score,,Atlanta Hawks,L,,110,114,14,5,L 1,
20,Wed Mar 10 1999,,,Box Score,@,San Antonio Spurs,L,,79,81,14,6,L 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Thu Mar 11 1999,,,Box Score,@,Dallas Mavericks,L,,76,93,14,7,L 3,
22,Sat Mar 13 1999,,,Box Score,@,Golden State Warriors,W,,87,74,15,7,W 1,
23,Mon Mar 15 1999,,,Box Score,,Philadelphia 76ers,W,,74,73,16,7,W 2,
24,Wed Mar 17 1999,,,Box Score,,Chicago Bulls,W,,103,94,17,7,W 3,
25,Thu Mar 18 1999,,,Box Score,@,New York Knicks,W,,86,78,18,7,W 4,
26,Sun Mar 21 1999,,,Box Score,,Los Angeles Lakers,L,,104,115,18,8,L 1,
27,Tue Mar 23 1999,,,Box Score,,Charlotte Hornets,W,,86,78,19,8,W 1,
28,Thu Mar 25 1999,,,Box Score,,Cleveland Cavaliers,W,,96,86,20,8,W 2,
29,Fri Mar 26 1999,,,Box Score,@,Charlotte Hornets,L,,82,90,20,9,L 1,
30,Sun Mar 28 1999,,,Box Score,,Miami Heat,W,,94,87,21,9,W 1,
31,Tue Mar 30 1999,,,Box Score,,New Jersey Nets,W,,100,98,22,9,W 2,
32,Wed Mar 31 1999,,,Box Score,@,Washington Wizards,L,,73,84,22,10,L 1,
33,Fri Apr 2 1999,,,Box Score,@,Chicago Bulls,W,,115,68,23,10,W 1,
34,Sat Apr 3 1999,,,Box Score,@,Detroit Pistons,W,,92,77,24,10,W 2,
35,Mon Apr 5 1999,,,Box Score,,Boston Celtics,W,,106,99,25,10,W 3,
36,Tue Apr 6 1999,,,Box Score,@,New York Knicks,W,,81,72,26,10,W 4,
37,Thu Apr 8 1999,,,Box Score,@,Cleveland Cavaliers,W,,73,69,27,10,W 5,
38,Fri Apr 9 1999,,,Box Score,,Milwaukee Bucks,W,,95,83,28,10,W 6,
39,Wed Apr 14 1999,,,Box Score,@,Indiana Pacers,L,,80,83,28,11,L 1,
40,Fri Apr 16 1999,,,Box Score,@,Atlanta Hawks,L,,79,91,28,12,L 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Sun Apr 18 1999,,,Box Score,,Detroit Pistons,W,,88,81,29,12,W 1,
42,Mon Apr 19 1999,,,Box Score,@,Toronto Raptors,L,,72,90,29,13,L 1,
43,Tue Apr 20 1999,,,Box Score,@,Milwaukee Bucks,L,,83,95,29,14,L 2,
44,Thu Apr 22 1999,,,Box Score,,Miami Heat,L,,70,75,29,15,L 3,
45,Fri Apr 23 1999,,,Box Score,,Toronto Raptors,L,,88,95,29,16,L 4,
46,Sun Apr 25 1999,,,Box Score,@,Philadelphia 76ers,L,,86,103,29,17,L 5,
47,Tue Apr 27 1999,,,Box Score,@,Indiana Pacers,W,,88,87,30,17,W 1,
48,Wed Apr 28 1999,,,Box Score,,Washington Wizards,W,,93,86,31,17,W 2,
49,Fri Apr 30 1999,,,Box Score,,New Jersey Nets,W,,107,95,32,17,W 3,
50,Wed May 5 1999,,,Box Score,@,Chicago Bulls,W,,103,83,33,17,W 4,
