
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Tue Oct 30 2001,7:30p EST,,Box Score,,Washington Wizards,W,,93,91,1,0,W 1,
2,Fri Nov 2 2001,7:30p EST,,Box Score,@,Charlotte Hornets,L,,93,97,1,1,L 1,
3,Sat Nov 3 2001,7:30p EST,,Box Score,@,Chicago Bulls,L,,79,84,1,2,L 2,
4,Tue Nov 6 2001,7:00p EST,,Box Score,@,Minnesota Timberwolves,L,,94,104,1,3,L 3,
5,Wed Nov 7 2001,7:30p EST,,Box Score,,Cleveland Cavaliers,W,,82,64,2,3,W 1,
6,Fri Nov 9 2001,7:00p EST,,Box Score,@,Indiana Pacers,L,,95,103,2,4,L 1,
7,Sat Nov 10 2001,7:30p EST,,Box Score,,Golden State Warriors,L,,71,90,2,5,L 2,
8,Tue Nov 13 2001,7:30p EST,,Box Score,,Portland Trail Blazers,W,,89,82,3,5,W 1,
9,Thu Nov 15 2001,7:30p EST,,Box Score,,Miami Heat,W,,83,74,4,5,W 2,
10,Fri Nov 16 2001,7:30p EST,,Box Score,@,New Jersey Nets,L,,83,109,4,6,L 1,
11,Sun Nov 18 2001,12:30p EST,,Box Score,@,Los Angeles Clippers,L,,86,99,4,7,L 2,
12,Tue Nov 20 2001,7:30p EST,,Box Score,@,Golden State Warriors,W,,94,70,5,7,W 1,
13,Wed Nov 21 2001,7:00p EST,,Box Score,@,Phoenix Suns,L,,72,96,5,8,L 1,
14,Sat Nov 24 2001,1:00p EST,,Box Score,,Chicago Bulls,W,,78,71,6,8,W 1,
15,Mon Nov 26 2001,7:30p EST,,Box Score,,Atlanta Hawks,W,,88,83,7,8,W 2,
16,Wed Nov 28 2001,7:30p EST,,Box Score,@,Atlanta Hawks,W,,105,100,8,8,W 3,
17,Sat Dec 1 2001,8:00p EST,,Box Score,,Detroit Pistons,L,,97,100,8,9,L 1,
18,Mon Dec 3 2001,7:30p EST,,Box Score,,Houston Rockets,W,,89,86,9,9,W 1,
19,Tue Dec 4 2001,7:00p EST,,Box Score,@,Milwaukee Bucks,W,,85,71,10,9,W 2,
20,Sat Dec 8 2001,7:30p EST,,Box Score,,Indiana Pacers,W,,101,99,11,9,W 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Tue Dec 11 2001,7:30p EST,,Box Score,,Boston Celtics,L,OT,93,102,11,10,L 1,
22,Thu Dec 13 2001,7:30p EST,,Box Score,@,Detroit Pistons,L,,97,99,11,11,L 2,
23,Fri Dec 14 2001,7:00p EST,,Box Score,@,Washington Wizards,L,,80,96,11,12,L 3,
24,Sun Dec 16 2001,7:00p EST,,Box Score,,New Jersey Nets,L,,96,114,11,13,L 4,
25,Tue Dec 18 2001,7:00p EST,,Box Score,@,Charlotte Hornets,W,,100,95,12,13,W 1,
26,Thu Dec 20 2001,7:30p EST,,Box Score,,Memphis Grizzlies,L,,88,90,12,14,L 1,
27,Sat Dec 22 2001,7:30p EST,,Box Score,,Washington Wizards,L,,86,87,12,15,L 2,
28,Tue Dec 25 2001,6:00p EST,,Box Score,,Toronto Raptors,W,,102,94,13,15,W 1,
29,Fri Dec 28 2001,7:30p EST,,Box Score,@,Cleveland Cavaliers,L,,88,98,13,16,L 1,
30,Sun Dec 30 2001,7:00p EST,,Box Score,,Orlando Magic,L,,90,94,13,17,L 2,
31,Thu Jan 3 2002,7:30p EST,,Box Score,,Dallas Mavericks,W,OT,108,101,14,17,W 1,
32,Sat Jan 5 2002,7:30p EST,,Box Score,,Boston Celtics,L,,81,90,14,18,L 1,
33,Mon Jan 7 2002,7:30p EST,,Box Score,@,San Antonio Spurs,L,,79,90,14,19,L 2,
