
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Fri Oct 31 1997,,,Box Score,@,Phoenix Suns,L,,100,110,0,1,L 1,
2,Sat Nov 1 1997,,,Box Score,,Portland Trail Blazers,L,,74,82,0,2,L 2,
3,Wed Nov 5 1997,,,Box Score,,Houston Rockets,L,,110,124,0,3,L 3,
4,Fri Nov 7 1997,,,Box Score,@,Sacramento Kings,W,,98,85,1,3,W 1,
5,Sat Nov 8 1997,,,Box Score,,Phoenix Suns,L,,105,123,1,4,L 1,at Anaheim CA
6,Tue Nov 11 1997,,,Box Score,@,Vancouver Grizzlies,L,,113,119,1,5,L 2,
7,Thu Nov 13 1997,,,Box Score,,Milwaukee Bucks,L,,94,102,1,6,L 3,
8,Sat Nov 15 1997,,,Box Score,@,Charlotte Hornets,L,,96,130,1,7,L 4,
9,Sun Nov 16 1997,,,Box Score,@,Atlanta Hawks,L,,83,89,1,8,L 5,at Atlanta GA (Alexander Memorial Coliseum at McDonald's Center)
10,Tue Nov 18 1997,,,Box Score,@,Orlando Magic,L,,94,112,1,9,L 6,
11,Wed Nov 19 1997,,,Box Score,@,Miami Heat,L,,113,122,1,10,L 7,
12,Fri Nov 21 1997,,,Box Score,,Chicago Bulls,L,2OT,102,111,1,11,L 8,
13,Sun Nov 23 1997,,,Box Score,@,Los Angeles Lakers,L,,102,119,1,12,L 9,
14,Wed Nov 26 1997,,,Box Score,,Sacramento Kings,W,,99,97,2,12,W 1,
15,Fri Nov 28 1997,,,Box Score,,New Jersey Nets,L,,92,104,2,13,L 1,at Anaheim CA
16,Sat Nov 29 1997,,,Box Score,,Utah Jazz,L,,91,94,2,14,L 2,
17,Thu Dec 4 1997,,,Box Score,,San Antonio Spurs,W,OT,100,96,3,14,W 1,
18,Sat Dec 6 1997,,,Box Score,,Orlando Magic,L,,79,83,3,15,L 1,
19,Sun Dec 7 1997,,,Box Score,@,Denver Nuggets,L,,92,100,3,16,L 2,
20,Tue Dec 9 1997,,,Box Score,@,Dallas Mavericks,W,,99,92,4,16,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Wed Dec 10 1997,,,Box Score,@,San Antonio Spurs,L,,87,102,4,17,L 1,
22,Fri Dec 12 1997,,,Box Score,,Atlanta Hawks,L,,74,83,4,18,L 2,
23,Sun Dec 14 1997,,,Box Score,@,Seattle SuperSonics,L,,101,107,4,19,L 3,
24,Tue Dec 16 1997,,,Box Score,,Seattle SuperSonics,L,,94,109,4,20,L 4,
25,Thu Dec 18 1997,,,Box Score,,Golden State Warriors,W,,82,78,5,20,W 1,at Anaheim CA
26,Sat Dec 20 1997,,,Box Score,@,Minnesota Timberwolves,L,,91,92,5,21,L 1,
27,Sun Dec 21 1997,,,Box Score,@,Boston Celtics,L,,77,99,5,22,L 2,
28,Tue Dec 23 1997,,,Box Score,@,Chicago Bulls,L,,89,94,5,23,L 3,
29,Fri Dec 26 1997,,,Box Score,@,Los Angeles Lakers,L,OT,114,118,5,24,L 4,
30,Sat Dec 27 1997,,,Box Score,,Denver Nuggets,W,,105,103,6,24,W 1,
31,Fri Jan 2 1998,,,Box Score,@,Golden State Warriors,W,,94,79,7,24,W 2,
32,Sat Jan 3 1998,,,Box Score,,Dallas Mavericks,W,,97,88,8,24,W 3,
33,Tue Jan 6 1998,,,Box Score,@,Sacramento Kings,L,,89,105,8,25,L 1,
34,Wed Jan 7 1998,,,Box Score,,Vancouver Grizzlies,W,,110,102,9,25,W 1,
35,Fri Jan 9 1998,,,Box Score,,Los Angeles Lakers,L,,115,125,9,26,L 1,
36,Sun Jan 11 1998,,,Box Score,@,Detroit Pistons,L,,85,113,9,27,L 2,
37,Mon Jan 12 1998,,,Box Score,@,Milwaukee Bucks,L,,95,110,9,28,L 3,
38,Wed Jan 14 1998,,,Box Score,@,Toronto Raptors,L,,101,109,9,29,L 4,
39,Thu Jan 15 1998,,,Box Score,@,New Jersey Nets,W,,119,116,10,29,W 1,
40,Sat Jan 17 1998,,,Box Score,@,Washington Wizards,L,,99,108,10,30,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Mon Jan 19 1998,,,Box Score,@,Minnesota Timberwolves,L,,109,117,10,31,L 2,
42,Thu Jan 22 1998,,,Box Score,,Detroit Pistons,L,,76,94,10,32,L 3,at Anaheim CA
43,Sat Jan 24 1998,,,Box Score,,Denver Nuggets,L,,81,99,10,33,L 4,
44,Tue Jan 27 1998,,,Box Score,@,Houston Rockets,L,,109,115,10,34,L 5,
45,Wed Jan 28 1998,,,Box Score,@,San Antonio Spurs,L,,86,109,10,35,L 6,
46,Fri Jan 30 1998,,,Box Score,,San Antonio Spurs,L,,87,97,10,36,L 7,
47,Sun Feb 1 1998,,,Box Score,,Indiana Pacers,L,,92,99,10,37,L 8,
48,Tue Feb 3 1998,,,Box Score,,Utah Jazz,W,,111,102,11,37,W 1,at Anaheim CA
49,Tue Feb 10 1998,,,Box Score,@,Utah Jazz,L,,98,106,11,38,L 1,
50,Wed Feb 11 1998,,,Box Score,,Washington Wizards,L,,104,110,11,39,L 2,
51,Fri Feb 13 1998,,,Box Score,,Boston Celtics,L,,96,97,11,40,L 3,
52,Mon Feb 16 1998,,,Box Score,,Houston Rockets,L,,99,121,11,41,L 4,
53,Thu Feb 19 1998,,,Box Score,,Miami Heat,L,,80,89,11,42,L 5,at Anaheim CA
54,Sat Feb 21 1998,,,Box Score,,Charlotte Hornets,L,,98,111,11,43,L 6,
55,Mon Feb 23 1998,,,Box Score,,Seattle SuperSonics,L,,100,101,11,44,L 7,
56,Wed Feb 25 1998,,,Box Score,,Philadelphia 76ers,W,,117,108,12,44,W 1,
57,Fri Feb 27 1998,,,Box Score,,Phoenix Suns,L,,99,104,12,45,L 1,
58,Tue Mar 3 1998,,,Box Score,@,Houston Rockets,L,,97,107,12,46,L 2,
59,Thu Mar 5 1998,,,Box Score,@,Dallas Mavericks,L,,109,119,12,47,L 3,
60,Sun Mar 8 1998,,,Box Score,@,Denver Nuggets,W,,100,89,13,47,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Mon Mar 9 1998,,,Box Score,@,Phoenix Suns,L,,105,134,13,48,L 1,
62,Thu Mar 12 1998,,,Box Score,,Los Angeles Lakers,L,,85,108,13,49,L 2,at Anaheim CA
63,Fri Mar 13 1998,,,Box Score,,Toronto Raptors,W,,152,120,14,49,W 1,
64,Sun Mar 15 1998,,,Box Score,@,Portland Trail Blazers,L,,92,103,14,50,L 1,
65,Tue Mar 17 1998,,,Box Score,@,Golden State Warriors,W,,107,102,15,50,W 1,
66,Wed Mar 18 1998,,,Box Score,@,Seattle SuperSonics,L,,80,99,15,51,L 1,
67,Sat Mar 21 1998,,,Box Score,,Cleveland Cavaliers,L,,79,100,15,52,L 2,
68,Mon Mar 23 1998,,,Box Score,@,Vancouver Grizzlies,L,,95,106,15,53,L 3,
69,Wed Mar 25 1998,,,Box Score,,New York Knicks,L,,76,77,15,54,L 4,
70,Fri Mar 27 1998,,,Box Score,,Minnesota Timberwolves,L,,98,100,15,55,L 5,
71,Sun Mar 29 1998,,,Box Score,,Dallas Mavericks,W,,108,86,16,55,W 1,
72,Tue Mar 31 1998,,,Box Score,@,Indiana Pacers,L,,106,128,16,56,L 1,
73,Thu Apr 2 1998,,,Box Score,@,New York Knicks,L,,70,81,16,57,L 2,
