
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
57,Sat Mar 3 2001,12:30p EST,,Box Score,@,Vancouver Grizzlies,W,,98,88,38,19,W 1,
58,Sun Mar 4 2001,6:30p EST,,Box Score,,Golden State Warriors,W,,110,95,39,19,W 2,
59,Tue Mar 6 2001,7:30p EST,,Box Score,@,Golden State Warriors,W,,97,85,40,19,W 3,
60,Wed Mar 7 2001,7:30p EST,,Box Score,,Toronto Raptors,W,,97,85,41,19,W 4,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Fri Mar 9 2001,7:30p EST,,Box Score,,San Antonio Spurs,L,OT,89,93,41,20,L 1,
62,Sun Mar 11 2001,6:30p EST,,Box Score,,Seattle SuperSonics,L,OT,97,109,41,21,L 2,
63,Tue Mar 13 2001,7:30p EST,,Box Score,,Boston Celtics,W,,112,107,42,21,W 1,
64,Thu Mar 15 2001,7:30p EST,,Box Score,@,Detroit Pistons,W,OT,125,119,43,21,W 2,
65,Fri Mar 16 2001,7:00p EST,,Box Score,@,Washington Wizards,W,,101,89,44,21,W 3,
66,Sun Mar 18 2001,12:00p EST,,Box Score,@,Orlando Magic,W,,95,90,45,21,W 4,
67,Mon Mar 19 2001,7:30p EST,,Box Score,@,Atlanta Hawks,L,,106,108,45,22,L 1,
68,Wed Mar 21 2001,7:00p EST,,Box Score,@,Milwaukee Bucks,L,,100,107,45,23,L 2,
69,Fri Mar 23 2001,7:30p EST,,Box Score,,Washington Wizards,W,,104,91,46,23,W 1,
70,Sun Mar 25 2001,3:30p EST,,Box Score,@,Sacramento Kings,W,,84,72,47,23,W 2,
71,Mon Mar 26 2001,7:00p EST,,Box Score,@,Phoenix Suns,L,,83,104,47,24,L 1,
72,Wed Mar 28 2001,7:30p EST,,Box Score,,Sacramento Kings,L,,84,108,47,25,L 2,
73,Fri Mar 30 2001,7:30p EST,,Box Score,,Dallas Mavericks,W,,98,89,48,25,W 1,
74,Sun Apr 1 2001,2:30p EST,,Box Score,,New York Knicks,L,,78,79,48,26,L 1,
75,Tue Apr 3 2001,6:00p EST,,Box Score,@,Utah Jazz,W,,96,88,49,26,W 1,
76,Thu Apr 5 2001,7:30p EST,,Box Score,@,Chicago Bulls,W,,100,88,50,26,W 2,
77,Fri Apr 6 2001,7:30p EST,,Box Score,@,Boston Celtics,W,,100,96,51,26,W 3,
78,Sun Apr 8 2001,4:30p EST,,Box Score,@,Minnesota Timberwolves,W,,104,99,52,26,W 4,
79,Tue Apr 10 2001,7:30p EST,,Box Score,,Phoenix Suns,W,,106,80,53,26,W 5,
80,Thu Apr 12 2001,7:30p EST,,Box Score,,Minnesota Timberwolves,W,,119,102,54,26,W 6,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Sun Apr 15 2001,2:30p EST,,Box Score,,Portland Trail Blazers,W,,105,100,55,26,W 7,
82,Tue Apr 17 2001,7:30p EST,,Box Score,,Denver Nuggets,W,,108,91,56,26,W 8,
